"CharacterId","Category","FileName","Bytes"
"100101000G","cutin","CharaCutin100101000G.png","819122"
"100101000G","gacha","Common_CharaIcon_Gacha_100101000G.png","112084"
"100101000G","large","Common_CharaIcon_L_100101000G.png","69846"
"100101000G","medium","Common_CharaIcon_M_100101000G.png","54258"
"100101000G","stat","CharaIcon100101000G.png","16661"
"100201000G","cutin","CharaCutin100201000G.png","721855"
"100201000G","gacha","Common_CharaIcon_Gacha_100201000G.png","94910"
"100201000G","large","Common_CharaIcon_L_100201000G.png","71241"
"100201000G","medium","Common_CharaIcon_M_100201000G.png","51827"
"100201000G","stat","CharaIcon100201000G.png","14450"
"100201001G","cutin","CharaCutin100201001G.png","527241"
"100201001G","gacha","Common_CharaIcon_Gacha_100201001G.png","88579"
"100201001G","large","Common_CharaIcon_L_100201001G.png","60725"
"100201001G","medium","Common_CharaIcon_M_100201001G.png","39000"
"100201001G","prize","Prize_100201001G.png","912749"
"100201001G","stat","CharaIcon100201001G.png","12267"
"100301000G","cutin","CharaCutin100301000G.png","796816"
"100301000G","gacha","Common_CharaIcon_Gacha_100301000G.png","107333"
"100301000G","large","Common_CharaIcon_L_100301000G.png","81054"
"100301000G","medium","Common_CharaIcon_M_100301000G.png","59298"
"100301000G","stat","CharaIcon100301000G.png","14219"
"100401000G","cutin","CharaCutin100401000G.png","635620"
"100401000G","gacha","Common_CharaIcon_Gacha_100401000G.png","102381"
"100401000G","large","Common_CharaIcon_L_100401000G.png","76980"
"100401000G","medium","Common_CharaIcon_M_100401000G.png","55511"
"100401000G","stat","CharaIcon100401000G.png","15286"
"100501000G","cutin","CharaCutin100501000G.png","876160"
"100501000G","gacha","Common_CharaIcon_Gacha_100501000G.png","103732"
"100501000G","large","Common_CharaIcon_L_100501000G.png","76142"
"100501000G","medium","Common_CharaIcon_M_100501000G.png","55155"
"100501000G","stat","CharaIcon100501000G.png","15800"
"100601000G","cutin","CharaCutin100601000G.png","774441"
"100601000G","gacha","Common_CharaIcon_Gacha_100601000G.png","93062"
"100601000G","large","Common_CharaIcon_L_100601000G.png","69050"
"100601000G","medium","Common_CharaIcon_M_100601000G.png","46733"
"100601000G","stat","CharaIcon100601000G.png","13890"
"100701000G","cutin","CharaCutin100701000G.png","959886"
"100701000G","gacha","Common_CharaIcon_Gacha_100701000G.png","127246"
"100701000G","large","Common_CharaIcon_L_100701000G.png","84646"
"100701000G","medium","Common_CharaIcon_M_100701000G.png","59230"
"100701000G","stat","CharaIcon100701000G.png","16830"
"100701001G","cutin","CharaCutin100701001G.png","758730"
"100701001G","large","Common_CharaIcon_L_100701001G.png","86581"
"100701001G","medium","Common_CharaIcon_M_100701001G.png","62543"
"100701001G","prize","Prize_100701001G.png","1050924"
"100701001G","stat","CharaIcon100701001G.png","16677"
"100801000G","cutin","CharaCutin100801000G.png","776666"
"100801000G","gacha","Common_CharaIcon_Gacha_100801000G.png","108723"
"100801000G","large","Common_CharaIcon_L_100801000G.png","74885"
"100801000G","medium","Common_CharaIcon_M_100801000G.png","51735"
"100801000G","stat","CharaIcon100801000G.png","14546"
"100901000G","cutin","CharaCutin100901000G.png","1172607"
"100901000G","gacha","Common_CharaIcon_Gacha_100901000G.png","134413"
"100901000G","large","Common_CharaIcon_L_100901000G.png","88610"
"100901000G","medium","Common_CharaIcon_M_100901000G.png","61684"
"100901000G","stat","CharaIcon100901000G.png","17888"
"101001000G","cutin","CharaCutin101001000G.png","1065348"
"101001000G","gacha","Common_CharaIcon_Gacha_101001000G.png","126199"
"101001000G","large","Common_CharaIcon_L_101001000G.png","92820"
"101001000G","medium","Common_CharaIcon_M_101001000G.png","68549"
"101001000G","stat","CharaIcon101001000G.png","16812"
"101101000G","large","Common_CharaIcon_L_101101000G.png","76619"
"101101000G","medium","Common_CharaIcon_M_101101000G.png","52917"
"101101000G","stat","CharaIcon101101000G.png","13288"
"101201000G","cutin","CharaCutin101201000G.png","1009497"
"101201000G","gacha","Common_CharaIcon_Gacha_101201000G.png","121971"
"101201000G","large","Common_CharaIcon_L_101201000G.png","82978"
"101201000G","medium","Common_CharaIcon_M_101201000G.png","61215"
"101201000G","stat","CharaIcon101201000G.png","16675"
"101201001G","cutin","CharaCutin101201001G.png","628367"
"101201001G","large","Common_CharaIcon_L_101201001G.png","84654"
"101201001G","medium","Common_CharaIcon_M_101201001G.png","64931"
"101201001G","prize","Prize_101201001G.png","1005274"
"101201001G","stat","CharaIcon101201001G.png","17197"
"101301000G","cutin","CharaCutin101301000G.png","827701"
"101301000G","gacha","Common_CharaIcon_Gacha_101301000G.png","114265"
"101301000G","large","Common_CharaIcon_L_101301000G.png","86892"
"101301000G","medium","Common_CharaIcon_M_101301000G.png","65166"
"101301000G","stat","CharaIcon101301000G.png","15060"
"101401000G","cutin","CharaCutin101401000G.png","908922"
"101401000G","gacha","Common_CharaIcon_Gacha_101401000G.png","110932"
"101401000G","large","Common_CharaIcon_L_101401000G.png","81818"
"101401000G","medium","Common_CharaIcon_M_101401000G.png","59009"
"101401000G","stat","CharaIcon101401000G.png","16284"
