"CharacterId","SkillType","SkillLevel","EffectIndex","Key","TypeName","Value"
"101601000G","actionSkillValues","1","1","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","2","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","3","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","4","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","1","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","2","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","3","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","4","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","1","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","2","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","3","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","4","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","1","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","2","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","3","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","4","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","1","1","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","50"
"101601000G","actionSkillValues","1","2","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","50"
"101601000G","actionSkillValues","1","3","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","50"
"101601000G","actionSkillValues","1","4","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","150"
"101601000G","actionSkillValues","1","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","50"
"101601000G","actionSkillValues","1","1","PRJCTL.LAND.KNOCKBACK.STRENGTH","System.Int32","3"
"101601000G","actionSkillValues","2","1","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","2","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","3","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","4","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","1","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","2","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","3","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","4","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","1","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","2","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","3","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","4","PRJCTL.LAND.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","1","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","2","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","3","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","4","PRJCTL.LAND.DAMAGE.HIT_COUNT","System.Int32","1"
"101601000G","actionSkillValues","2","1","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","59.5"
"101601000G","actionSkillValues","2","2","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","59.5"
"101601000G","actionSkillValues","2","3","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","59.5"
"101601000G","actionSkillValues","2","4","PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","178.6"
"101601000G","actionSkillValues","2","1","PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","59.5"
"101601000G","actionSkillValues","2","1","PRJCTL.LAND.KNOCKBACK.STRENGTH","System.Int32","3"
"101601000G","actionSkillValues","3","1","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","2","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","3","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","4","PRJCTL.THROW_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","1","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","2","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","3","PRJCTL.TARGET_COUNT","System.Int32","1"
"101601000G","actionSkillValues","3","4","PRJCTL.TARGET_COUNT","System.Int32","1"
