"CharacterId","SkillType","SkillLevel","DamageEventCount","DamagePercentValues","DamagePercentRawSum","FirstDamagePercent","HitCountValues","TargetCountValues","AllKeys"
"100101000G","actionSkillValues","1","6","15|75|15|15|15|15","150","15","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","2","6","17.8|89.5|17.8|17.8|17.8|17.8","178.5","17.8","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","3","6","20.7|103.5|20.7|20.7|20.7|20.7","207","20.7","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","4","6","23.5|118|23.5|23.5|23.5|23.5","235.5","23.5","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","5","6","26.4|132|26.4|26.4|26.4|26.4","264","26.4","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","6","6","27.1|135.6|27.1|27.1|27.1|27.1","271.1","27.1","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","7","6","27.8|139.2|27.8|27.8|27.8|27.8","278.2","27.8","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","8","6","28.5|142.8|28.5|28.5|28.5|28.5","285.3","28.5","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","9","6","29.2|146.4|29.2|29.2|29.2|29.2","292.4","29.2","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"100101000G","actionSkillValues","10","6","30|150|30|30|30|30","300","30","1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
