"SkillId","SkillName","ActionSkillType","ActionSkillTypeName","AttackRangeType","AttackRangeTypeName","AttackArea","AttackAreaMax","AttackAreaDepth","TargetType","TargetTypeName","UnitTargetType","UnitTargetTypeName","IsTargetEnemy","IsAerialHit","ChargePoint","Interval","ExcludeBattleLine","ForceInvincible","SourceFile","DuplicateCount"
"1100001000","粉骨砕身","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100001000.skill_asset.asset","1"
"1100001001","粉骨砕身","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100001001.skill_asset.asset","1"
"1100002000","大地の御加護","20","ActionSkill","0","All","{x: 2, y: 5}","4.5","1.8","2","Friend","0","All","1","0","35","0","0","0","Skill1100002000.skill_asset.asset","1"
"1100002001","大地の御加護","30","ChainSkill/ForceChain","0","All","{x: 2, y: 5}","4.5","1.8","2","Friend","0","All","0","0","0","30","0","0","Skill1100002001.skill_asset.asset","1"
"1100003000","ルカのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100003000.skill_asset.asset","1"
"1100003001","ルカのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100003001.skill_asset.asset","1"
"1100004000","ヤチヨのスキル","20","ActionSkill","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100004000.skill_asset.asset","1"
"1100004001","ヤチヨのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100004001.skill_asset.asset","1"
"1100005000","エルミアのスキル","20","ActionSkill","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100005000.skill_asset.asset","1"
"1100005001","エルミアのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100005001.skill_asset.asset","1"
"1100006000","メレムのスキル","20","ActionSkill","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100006000.skill_asset.asset","1"
"1100006001","メレムのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100006001.skill_asset.asset","1"
"1100007000","セレストのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100007000.skill_asset.asset","1"
"1100007001","セレストのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100007001.skill_asset.asset","1"
"1100008000","クロエのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100008000.skill_asset.asset","1"
"1100008001","クロエのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100008001.skill_asset.asset","1"
"1100009000","ベティのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100009000.skill_asset.asset","1"
"1100009001","ベティのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100009001.skill_asset.asset","1"
"1100010000","フェイリンのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100010000.skill_asset.asset","1"
"1100010001","フェイリンのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100010001.skill_asset.asset","1"
"1100011000","シェリルのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100011000.skill_asset.asset","1"
"1100011001","シェリルのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100011001.skill_asset.asset","1"
"1100012000","シャノンのスキル","20","ActionSkill","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100012000.skill_asset.asset","1"
"1100012001","シャノンのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100012001.skill_asset.asset","1"
"1100013000","フレイヤのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100013000.skill_asset.asset","1"
"1100013001","フレイヤのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100013001.skill_asset.asset","1"
"1100014000","リタのスキル","20","ActionSkill","1","Melee","{x: 0, y: 1}","1.8","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100014000.skill_asset.asset","1"
"1100014001","リタのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100014001.skill_asset.asset","1"
"1100015000","スティーラのスキル","20","ActionSkill","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100015000.skill_asset.asset","1"
"1100015001","スティーラのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100015001.skill_asset.asset","1"
"1100016000","元奴隷娘のスキル","20","ActionSkill","2","Range","{x: 2, y: 5}","1","1.8","1","Opponent","0","All","0","0","30","0","0","0","Skill1100016000.skill_asset.asset","1"
"1100016001","元奴隷娘のFCスキル","30","ChainSkill/ForceChain","2","Range","{x: 2, y: 5}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100016001.skill_asset.asset","1"
"1200001000","セレスティアルスラッシュ","20","ActionSkill","0","All","{x: 0, y: 100}","0","100","1","Opponent","0","All","0","0","25","0","1","0","Skill1200001000.skill_asset.asset","1"
"1200001001","セレスティアルスラッシュ","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","1","0","Skill1200001001.skill_asset.asset","1"
"1200002000","ファイアボール","20","ActionSkill","2","Range","{x: 2.5, y: 6}","6","3","1","Opponent","0","All","0","0","40","0","0","0","Skill1200002000.skill_asset.asset","2"
"1200002001","ファイアボール","30","ChainSkill/ForceChain","2","Range","{x: 2.5, y: 6}","6","3","1","Opponent","0","All","0","0","0","30","0","0","Skill1200002001.skill_asset.asset","2"
"1200003000","ヒールポーション","20","ActionSkill","0","All","{x: 0, y: 100}","0","1.8","2","Friend","0","All","0","1","40","0","0","0","Skill1200003000.skill_asset.asset","1"
"1200003001","ヒールポーション","30","ChainSkill/ForceChain","0","All","{x: 0, y: 100}","0","1.8","2","Friend","0","All","0","1","0","25","0","0","Skill1200003001.skill_asset.asset","1"
"1200004000","ダリアのスキル","20","ActionSkill","0","All","{x: 0, y: 100}","0","100","1","Opponent","0","All","0","0","25","0","0","0","Skill1200004000.skill_asset.asset","1"
"1200004001","ダリアのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200004001.skill_asset.asset","1"
"1200005000","魅惑の矢","20","ActionSkill","2","Range","{x: 2, y: 5}","1","1.8","1","Opponent","0","All","1","0","25","0","0","0","Skill1200005000.skill_asset.asset","1"
