"SkillId","SkillName","ActionSkillType","ActionSkillTypeName","AttackRangeType","AttackRangeTypeName","AttackArea","AttackAreaMax","AttackAreaDepth","TargetType","TargetTypeName","UnitTargetType","UnitTargetTypeName","IsTargetEnemy","IsAerialHit","ChargePoint","Interval","ExcludeBattleLine","ForceInvincible","SourceFile","DuplicateCount"
"1100001001","粉骨砕身","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100001001.skill_asset.asset","1"
"1100002001","大地の御加護","30","ChainSkill/ForceChain","0","All","{x: 2, y: 5}","4.5","1.8","2","Friend","0","All","0","0","0","30","0","0","Skill1100002001.skill_asset.asset","1"
"1100003001","ルカのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100003001.skill_asset.asset","1"
"1100004001","ヤチヨのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100004001.skill_asset.asset","1"
"1100005001","エルミアのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100005001.skill_asset.asset","1"
"1100006001","メレムのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100006001.skill_asset.asset","1"
"1100007001","セレストのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100007001.skill_asset.asset","1"
"1100008001","クロエのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100008001.skill_asset.asset","1"
"1100009001","ベティのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100009001.skill_asset.asset","1"
"1100010001","フェイリンのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100010001.skill_asset.asset","1"
"1100011001","シェリルのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100011001.skill_asset.asset","1"
"1100012001","シャノンのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100012001.skill_asset.asset","1"
"1100013001","フレイヤのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100013001.skill_asset.asset","1"
"1100014001","リタのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100014001.skill_asset.asset","1"
"1100015001","スティーラのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100015001.skill_asset.asset","1"
"1100016001","元奴隷娘のFCスキル","30","ChainSkill/ForceChain","2","Range","{x: 2, y: 5}","1","1.8","1","Opponent","0","All","0","0","0","30","0","0","Skill1100016001.skill_asset.asset","1"
"1200001001","セレスティアルスラッシュ","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","1","0","Skill1200001001.skill_asset.asset","1"
"1200002001","ファイアボール","30","ChainSkill/ForceChain","2","Range","{x: 2.5, y: 6}","6","3","1","Opponent","0","All","0","0","0","30","0","0","Skill1200002001.skill_asset.asset","2"
"1200003001","ヒールポーション","30","ChainSkill/ForceChain","0","All","{x: 0, y: 100}","0","1.8","2","Friend","0","All","0","1","0","25","0","0","Skill1200003001.skill_asset.asset","1"
"1200004001","ダリアのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200004001.skill_asset.asset","1"
"1200005001","魅惑の矢","30","ChainSkill/ForceChain","2","Range","{x: 2, y: 5}","1","1.8","1","Opponent","0","All","0","1","0","20","0","0","Skill1200005001.skill_asset.asset","1"
"1200006001","カーラのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200006001.skill_asset.asset","1"
"1200007001","フランのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200007001.skill_asset.asset","1"
"1200008001","ライムのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200008001.skill_asset.asset","1"
"1200009001","プリルのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200009001.skill_asset.asset","1"
"1200010001","アイナのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200010001.skill_asset.asset","1"
"1200011001","マーガレットのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200011001.skill_asset.asset","1"
"1200012001","アヤメのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200012001.skill_asset.asset","1"
"1200013001","ヘイリーのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200013001.skill_asset.asset","1"
"1200014001","ジェンマのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200014001.skill_asset.asset","1"
"1200015001","イオラのFCスキル","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200015001.skill_asset.asset","1"
"1200016001","ソードオブマーキス","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","1.2","1.8","1","Opponent","0","All","0","0","0","20","0","0","Skill1200016001.skill_asset.asset","1"
"1200017001","ノヴァブラスト","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","6","1.5","1","Opponent","0","All","0","0","0","20","0","0","Skill1200017001.skill_asset.asset","2"
"1200018001","ワイルドラッシュ","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","0.5","1","1","Opponent","0","All","0","1","0","20","1","0","Skill1200018001.skill_asset.asset","1"
"1200019001","アイシャのFCスキル","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","0.5","1","1","Opponent","0","All","0","1","0","20","1","0","Skill1200019001.skill_asset.asset","1"
"1300001001","乱舞","30","ChainSkill/ForceChain","0","All","{x: 0, y: 1.2}","1","1.8","1","Opponent","0","All","0","1","0","20","1","0","Skill1300001001.skill_asset.asset","1"
"1300002001","九秋紅桜","30","ChainSkill/ForceChain","1","Melee","{x: 0, y: 1.2}","2","2","1","Opponent","0","All","1","1","0","20","0","0","Skill1300002001.skill_asset.asset","1"
