"CharacterId","NormalSkillId","NormalSkillName","IntervalSeconds","ChargePoint","AttackRangeType","AttackAreaMax","AttackAreaDepth","DirectDamageEventCount","DirectDamageTimes","HitCheckEventCount","HitCheckTimes","TimelineDurationSeconds","FireEventCount","FireTimes","ObservedHitEventCount","ObservedEventTimes","TimingBasis","ProjectileDamageEventCount","ProjectileLandingTimes","TotalDamageEventCount","HasProjectileTrack","ProjectileAssets","TimelineTracks","NormalSkillAsset","AttackEffectAsset","AttackEffectSource"
"100101000G","10001","通常：片手剣","1.7","100","1","1.2","1.8","3","0.333333|0.716667|1.2","3","0.333333|0.716667|1.2","1.266667","0","","3","0.333333|0.716667|1.2","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10001.skill_asset_8.asset","AttackSkillEffect_69.asset","AttackSkillEffect"
"100201000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_10.asset","AttackSkillEffect_68.asset","AttackSkillEffect"
"100201001G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_9.asset","AttackSkillEffect_67.asset","AttackSkillEffect"
"100301000G","0","採掘攻撃","3","40","1","5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","AttackCollection.skill_asset_8.asset","","Attack"
"100401000G","1003000","通常：拳","1.5","0","1","1","1.8","3","0.333333|0.5|0.7","3","0.333333|0.5|0.7","0.8","0","","3","0.333333|0.5|0.7","direct_hit","0","","3","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal1003000.skill_asset_7.asset","AttackSkillEffect_66.asset","AttackSkillEffect"
"100501000G","10006","通常：銃","2.5","100","1","6","4","0","","0","","0.633333","1","0.616667","1","0.616667","projectile_launch","0","","0","True","","Fire Skill Track|Play Chara Se Track","Normal10006.skill_asset_10.asset","AttackSkillEffect_65.asset","AttackSkillEffect"
"100601000G","20001","通常：回復","1.9","100","2","2.5","1.8","0","","0","","0","0","","0","","none","0","","0","False","","","Normal20001.skill_asset_7.asset","","Attack"
"100701000G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_9.asset","AttackSkillEffect_64.asset","AttackSkillEffect"
"100701001G","10002","通常：大剣","1.9","100","1","1.75","1.8","1","0.766667","1","0.766667","0.866667","0","","1","0.766667","direct_hit","0","","1","False","","Hit Check Track|Hit Damage Skill Track|Hit Effect Target Track|Hit Knockback Skill Track|Hit Play Chara Se Track","Normal10002.skill_asset_8.asset","AttackSkillEffect_63.asset","AttackSkillEffect"
"100801000G","10003","通常：杖","2.1","100","2","0","1.8","0","","0","","0.433333","1","0.416667","1","0.416667","projectile_launch","0","","0","True","","Fire Skill Track","Normal10003.skill_asset_8.asset","AttackSkillEffect_62.asset","AttackSkillEffect"
