"Catalog","AbilityEffectAssetId","EffectCode","TargetCode","SituationCode","ScopeCode","SubAssetCount","PathId"
"AbilityEffectAssetCatalog","10001","ParameterBuff","Self","BuiltIn","","3","8024495068819729755"
"AbilityEffectAssetCatalog","10002","ParameterBuff","Self","BuiltIn","","3","8226870603080069966"
"AbilityEffectAssetCatalog","10003","ParameterBuff","Self","BuiltIn","","3","-6394020138689025197"
"AbilityEffectAssetCatalog","10004","ParameterBuff","Self","BuiltIn","","3","2016740106814718266"
"AbilityEffectAssetCatalog","10005","ParameterBuff","Self","BuiltIn","","3","5736446395536608816"
"AbilityEffectAssetCatalog","10006","ParameterBuff","Self","BuiltIn","","3","-4179342477449384749"
"AbilityEffectAssetCatalog","10007","ParameterBuff","Self","BuiltIn","","3","6099646095804288606"
"AbilityEffectAssetCatalog","10008","ParameterBuff","Self","BuiltIn","","3","-8531580704192938107"
"AbilityEffectAssetCatalog","10009","ParameterBuff","Self","BuiltIn","","3","6392428671267788990"
"AbilityEffectAssetCatalog","10010","ParameterBuff","Self","BuiltIn","","3","-2738497310978177439"
"AbilityEffectAssetCatalog","10011","ParameterBuff","Self","BuiltIn","","3","-8214452897433642946"
"AbilityEffectAssetCatalog","10101","ParameterBuff","Self","Critical","","3","-3739867238341004259"
"AbilityEffectAssetCatalog","10102","ParameterBuff","Self","Critical","","3","-9012734152404830837"
"AbilityEffectAssetCatalog","10103","ParameterBuff","Self","DestroyEnemy","","3","-8422451180409497119"
"AbilityEffectAssetCatalog","10104","ParameterBuff","Self","DestroyEnemy","","3","-108133310659376423"
"AbilityEffectAssetCatalog","10105","ParameterBuff","Self","NormalAttackCount","","3","3962578342033965970"
"AbilityEffectAssetCatalog","10106","ParameterBuff","Self","NormalAttackCount","","3","5024600425359589153"
"AbilityEffectAssetCatalog","10107","ParameterBuff","Self","ReceiveDamage","","3","6686983537608681221"
"AbilityEffectAssetCatalog","10108","ParameterBuff","Self","ReceiveDamage","","3","7670465159504369795"
"AbilityEffectAssetCatalog","10109","ParameterBuff","Self","BelowHp","","3","-5196365991861770505"
"AbilityEffectAssetCatalog","10110","ParameterBuff","Self","DeadEnemy","","3","-2328634734603968425"
"AbilityEffectAssetCatalog","10111","RecoverHp","FriendAll","Duration","","3","-2412685650247119112"
"AbilityEffectAssetCatalog","10112","ParameterBuff","Self","BuiltIn","","3","-123198139064241127"
"AbilityEffectAssetCatalog","10113","ParameterBuff","Self","BuiltIn","","3","-6238652995050982077"
"AbilityEffectAssetCatalog","10114","ParameterBuff","Self","ActivateForceChain","","3","333553326228527104"
"AbilityEffectAssetCatalog","10115","ParameterBuff","Self","ActivateForceChain","","3","-9051919021449824088"
"AbilityEffectAssetCatalog","10116","ParameterBuff","Self","Duration","","3","-5663967107446079472"
"AbilityEffectAssetCatalog","10117","RecoverHp","Self","Duration","","3","-4746735519880680283"
"AbilityEffectAssetCatalog","10156","ActionPattern","Self","BuiltIn","","3","-7444040953367321332"
"AbilityEffectAssetCatalog","10501","ParameterBuff","Self","BuiltIn","","3","5525979465265058945"
"AbilityEffectAssetCatalog","10511","ParameterBuff","Self","BuiltIn","","3","-595086779398028990"
"AbilityEffectAssetCatalog","10521","ParameterBuff","Self","BuiltIn","","3","3038238208659082702"
"AbilityEffectAssetCatalog","10531","ParameterBuff","Self","BuiltIn","","3","2326295374550192711"
"AbilityEffectAssetCatalog","10541","ParameterBuff","Self","BuiltIn","","3","-1811643611609384489"
"AbilityEffectAssetCatalog","10601","ParameterBuff","Self","BuiltIn","","3","-7915208911249186207"
"AbilityEffectAssetCatalog","11001","ParameterBuff","FriendAll","Duration","","3","2585681165316818772"
