"CharacterId","CharacterName","CharacterRarity","SkillOrder","CharacterAbilityId","SkillAssetId","SkillName","AbilityNo","AwakeLevel","Level","Description","AwakeDescription","EffectAssetId","EffectValue","EffectTypeId","EffectTypeName","EffectTypeCode","EffectGrade","TargetCode","SituationCode","ScopeCode","RuntimeEffectCode","ReleaseConditions"
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","0","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","1","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","1","110000101","Ability_Defense_01","心眼開明","10001","2","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与","","20067","1","1","クライアント効果","Battle","White","Self","Critical","","ParameterBuff",""
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","1","自身の会心率が【{10%}】上昇","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","2","自身の会心率が【{10.4%}】上昇","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","3","自身の会心率が【{10.8%}】上昇","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","4","自身の会心率が【{11.2%}】上昇","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","5","自身の会心率が【{12%}】上昇","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","6","データ未設計","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","7","データ未設計","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
"1100001","シャオレイ","1","2","110000102","Ability_Critical_01","神速一閃","10002","0","8","データ未設計","","20068","1","1","クライアント効果","Battle","White","Self","BuiltIn","","ParameterBuff","lv=1,type=2,value=5"
