"id","ability_no","m_ability_effects_id","ability_awake_level","display_order"
"1000001","10000","10111","0","1"
"1000101","10001","20067","0","1"
"1000201","10002","20068","0","1"
"1000301","10003","20069","0","1"
"1000401","10004","20070","0","1"
"1000501","10005","20071","0","1"
"1000502","10005","20267","0","1"
"1000601","10006","20072","0","1"
"1000701","10007","20073","0","1"
"1000801","10008","20074","0","1"
"1000901","10009","20075","0","1"
"1001001","10010","20076","0","1"
"1001101","10011","20084","0","1"
"1001102","10011","20084","1","1"
"1001103","10011","20307","1","1"
"1001104","10011","20084","2","1"
"1001105","10011","20307","2","1"
"1001201","10012","20086","0","1"
"1001202","10012","20086","1","1"
"1001203","10012","20310","1","1"
"1001204","10012","20086","2","1"
"1001205","10012","20310","2","1"
"1001301","10013","20087","0","1"
"1001302","10013","20087","1","1"
"1001303","10013","20320","1","1"
"1001304","10013","20087","2","1"
"1001305","10013","20320","2","1"
"1001401","10014","20088","0","1"
"1001402","10014","20170","0","1"
"1001403","10014","20088","1","1"
"1001404","10014","20170","1","1"
"1001405","10014","20307","1","1"
"1001406","10014","20088","2","1"
"1001407","10014","20170","2","1"
"1001408","10014","20307","2","1"
"1001501","10015","20089","0","1"
"1001502","10015","20089","1","1"
"1001503","10015","20309","1","1"
"1001504","10015","20089","2","1"
"1001505","10015","20309","2","1"
"1001601","10016","20090","0","1"
"1001602","10016","20090","1","1"
"1001603","10016","20320","1","1"
"1001604","10016","20090","2","1"
"1001605","10016","20320","2","1"
"1001701","10017","20091","0","1"
"1001702","10017","20091","1","1"
"1001703","10017","20307","1","1"
"1001704","10017","20091","2","1"
"1001705","10017","20307","2","1"
"1001801","10018","20092","0","1"
"1001802","10018","20092","1","1"
"1001803","10018","20318","1","1"
"1001804","10018","20092","2","1"
"1001805","10018","20318","2","1"
"1001901","10019","20093","0","1"
"1001902","10019","20093","1","1"
"1001903","10019","20321","1","1"
"1001904","10019","20093","2","1"
"1001905","10019","20321","2","1"
"1002001","10020","20094","0","1"
"1002002","10020","20094","1","1"
"1002003","10020","20307","1","1"
"1002004","10020","20094","2","1"
"1002005","10020","20307","2","1"
"1002101","10021","20329","0","1"
"1002102","10021","20329","1","1"
"1002103","10021","20319","1","1"
"1002104","10021","20329","2","1"
"1002105","10021","20319","2","1"
"1002201","10022","20096","0","1"
"1002202","10022","20096","1","1"
"1002203","10022","20321","1","1"
"1002204","10022","20096","2","1"
"1002205","10022","20321","2","1"
"1002206","10022","20095","0","1"
"1002207","10022","20095","1","1"
"1002208","10022","20095","2","1"
"1002301","10023","20097","0","1"
"1002302","10023","20097","1","1"
"1002303","10023","20307","1","1"
"1002304","10023","20097","2","1"
"1002305","10023","20307","2","1"
"1002401","10024","20098","0","1"
"1002402","10024","20260","0","1"
"1002403","10024","20098","1","1"
"1002404","10024","20260","1","1"
"1002405","10024","20309","1","1"
"1002406","10024","20098","2","1"
"1002407","10024","20260","2","1"
"1002408","10024","20309","2","1"
"1002501","10025","20099","0","1"
"1002502","10025","20099","1","1"
"1002503","10025","20321","1","1"
"1002504","10025","20099","2","1"
"1002505","10025","20321","2","1"
"1002601","10026","20100","0","1"
"1002701","10027","20102","0","1"
"1002801","10028","20103","0","1"
"1002802","10028","20103","1","1"
"1002602","10026","20101","0","1"
"1002603","10026","20100","1","1"
"1002604","10026","20101","1","1"
"1002605","10026","20307","1","1"
"1002606","10026","20100","2","1"
"1002607","10026","20101","2","1"
"1002608","10026","20307","2","1"
"1002702","10027","20102","1","1"
"1002703","10027","20319","1","1"
"1002704","10027","20102","2","1"
"1002705","10027","20319","2","1"
"1002803","10028","20320","1","1"
"1002804","10028","20103","2","1"
"1002805","10028","20320","2","1"
"1002901","10029","20115","0","1"
"1002902","10029","20115","1","1"
"1002903","10029","20307","1","1"
"1002904","10029","20115","2","1"
"1002905","10029","20307","2","1"
"1003001","10030","20116","0","1"
"1003002","10030","20117","0","1"
"1003003","10030","20118","0","1"
"1003004","10030","20116","1","1"
"1003005","10030","20117","1","1"
"1003006","10030","20118","1","1"
"1003007","10030","20311","1","1"
"1003008","10030","20116","2","1"
"1003009","10030","20117","2","1"
"1003010","10030","20118","2","1"
"1003011","10030","20311","2","1"
"1003101","10031","20119","0","1"
"1003102","10031","20119","1","1"
"1003103","10031","20320","1","1"
"1003104","10031","20119","2","1"
"1003105","10031","20320","2","1"
"1003201","10032","20001","0","1"
"1003202","10032","20257","0","1"
"1003203","10032","20001","1","1"
"1003204","10032","20257","1","1"
"1003205","10032","20122","1","1"
"1003206","10032","20001","2","1"
"1003207","10032","20257","2","1"
"1003208","10032","20122","2","1"
"1003301","10033","20002","0","1"
"1003302","10033","20002","1","1"
"1003303","10033","20123","1","1"
"1003304","10033","20002","2","1"
"1003305","10033","20123","2","1"
"1003401","10034","20003","0","1"
"1003402","10034","20258","0","1"
"1003403","10034","20003","1","1"
"1003404","10034","20258","1","1"
"1003405","10034","20124","1","1"
"1003406","10034","20003","2","1"
"1003407","10034","20258","2","1"
"1003408","10034","20124","2","1"
"1003501","10035","20004","0","1"
"1003502","10035","20157","0","1"
"1003503","10035","20004","1","1"
"1003504","10035","20157","1","1"
"1003505","10035","20158","1","1"
"1003506","10035","20004","2","1"
"1003507","10035","20157","2","1"
"1003508","10035","20158","2","1"
"1003601","10036","20005","0","1"
"1003602","10036","20005","1","1"
"1003603","10036","20159","1","1"
"1003604","10036","20005","2","1"
"1003605","10036","20159","2","1"
"1003701","10037","20006","0","1"
"1003702","10037","20006","1","1"
"1003703","10037","20160","1","1"
"1003704","10037","20006","2","1"
"1003705","10037","20160","2","1"
"1003801","10038","20007","0","1"
"1003802","10038","20299","0","1"
"1003803","10038","20007","1","1"
"1003804","10038","20299","1","1"
"1003805","10038","20307","1","1"
"1003806","10038","20007","2","1"
"1003807","10038","20299","2","1"
"1003808","10038","20307","2","1"
"1003901","10039","20008","0","1"
"1003902","10039","20008","1","1"
"1003903","10039","20318","1","1"
"1003904","10039","20008","2","1"
"1003905","10039","20318","2","1"
"1004001","10040","20009","0","1"
"1004002","10040","20009","1","1"
"1004003","10040","20320","1","1"
"1004004","10040","20009","2","1"
"1004005","10040","20320","2","1"
"1004101","10041","20010","0","1"
"1004102","10041","20011","0","1"
"1004103","10041","20010","1","1"
"1004104","10041","20011","1","1"
"1004105","10041","20125","1","1"
"1004106","10041","20010","2","1"
"1004107","10041","20011","2","1"
"1004108","10041","20125","2","1"
"1004201","10042","20012","0","1"
"1004202","10042","20012","1","1"
"1004203","10042","20126","1","1"
"1004204","10042","20012","2","1"
"1004205","10042","20126","2","1"
"1004301","10043","20013","0","1"
"1004302","10043","20252","0","1"
"1004303","10043","20013","1","1"
"1004304","10043","20252","1","1"
"1004305","10043","20127","1","1"
"1004306","10043","20013","2","1"
"1004307","10043","20252","2","1"
"1004308","10043","20127","2","1"
"1004401","10044","20014","0","1"
"1004402","10044","20014","1","1"
"1004403","10044","20307","1","1"
"1004404","10044","20014","2","1"
"1004405","10044","20307","2","1"
"1004501","10045","20015","0","1"
"1004502","10045","20015","1","1"
"1004503","10045","20310","1","1"
"1004504","10045","20015","2","1"
"1004505","10045","20310","2","1"
"1004601","10046","20016","0","1"
"1004602","10046","20016","1","1"
"1004603","10046","20320","1","1"
"1004604","10046","20016","2","1"
"1004605","10046","20320","2","1"
"1004701","10047","20017","0","1"
"1004702","10047","20017","1","1"
"1004703","10047","20307","1","1"
"1004704","10047","20017","2","1"
"1004705","10047","20307","2","1"
"1004801","10048","20018","0","1"
"1004802","10048","20018","1","1"
"1004803","10048","20319","1","1"
"1004804","10048","20018","2","1"
"1004805","10048","20319","2","1"
"1004901","10049","20019","0","1"
"1004902","10049","20359","0","1"
"1004903","10049","20019","1","1"
"1004904","10049","20359","1","1"
"1004905","10049","20321","1","1"
"1004906","10049","20019","2","1"
"1004907","10049","20359","2","1"
"1004908","10049","20321","2","1"
"1005001","10050","20020","0","1"
"1005002","10050","20174","0","1"
"1005003","10050","20020","1","1"
"1005004","10050","20174","1","1"
"1005005","10050","20307","1","1"
"1005006","10050","20020","2","1"
"1005007","10050","20174","2","1"
"1005008","10050","20307","2","1"
"1005101","10051","20021","0","1"
"1005102","10051","20021","1","1"
"1005103","10051","20319","1","1"
"1005104","10051","20021","2","1"
"1005105","10051","20319","2","1"
"1005201","10052","20022","0","1"
"1005202","10052","20022","1","1"
"1005203","10052","20320","1","1"
"1005204","10052","20022","2","1"
"1005205","10052","20320","2","1"
"1005301","10053","20023","0","1"
"1005302","10053","20023","1","1"
"1005303","10053","20307","1","1"
"1005304","10053","20023","2","1"
"1005305","10053","20307","2","1"
"1005401","10054","20024","0","1"
"1005402","10054","20223","0","1"
"1005403","10054","20024","1","1"
"1005404","10054","20223","1","1"
"1005405","10054","20309","1","1"
"1005406","10054","20024","2","1"
"1005407","10054","20223","2","1"
"1005408","10054","20309","2","1"
"1005501","10055","20025","0","1"
"1005502","10055","20026","0","1"
"1005503","10055","20025","1","1"
"1005504","10055","20026","1","1"
"1005505","10055","20321","1","1"
"1005506","10055","20025","2","1"
"1005507","10055","20026","2","1"
"1005508","10055","20321","2","1"
"1005601","10056","20027","0","1"
"1005602","10056","20027","1","1"
"1005603","10056","20225","1","1"
"1005604","10056","20027","2","1"
"1005605","10056","20225","2","1"
"1005701","10057","20028","0","1"
"1005702","10057","20028","1","1"
"1005703","10057","20226","1","1"
"1005704","10057","20028","2","1"
"1005705","10057","20226","2","1"
"1005801","10058","20029","0","1"
"1005802","10058","20251","0","1"
"1005803","10058","20029","1","1"
"1005804","10058","20251","1","1"
"1005805","10058","20227","1","1"
"1005806","10058","20029","2","1"
"1005807","10058","20251","2","1"
"1005808","10058","20227","2","1"
"1005901","10059","20030","0","1"
"1006001","10060","20031","0","1"
"1006101","10061","20032","0","1"
"1005902","10059","20030","0","1"
"1005903","10059","20031","0","1"
"1005904","10059","20030","1","1"
"1005905","10059","20031","1","1"
"1005906","10059","20132","1","1"
"1005907","10059","20030","2","1"
"1005908","10059","20031","2","1"
"1005909","10059","20132","2","1"
"1006002","10060","20032","0","1"
"1006003","10060","20032","1","1"
"1006004","10060","20133","1","1"
"1006005","10060","20032","2","1"
"1006006","10060","20133","2","1"
"1006102","10061","20131","0","1"
"1006103","10061","20131","1","1"
"1006104","10061","20134","1","1"
"1006105","10061","20131","2","1"
"1006106","10061","20134","2","1"
"1006201","10062","20033","0","1"
"1006202","10062","20033","1","1"
"1006203","10062","20307","1","1"
"1006204","10062","20033","2","1"
"1006205","10062","20307","2","1"
"1006301","10063","20034","0","1"
"1006302","10063","20034","1","1"
"1006303","10063","20319","1","1"
"1006304","10063","20034","2","1"
"1006305","10063","20319","2","1"
"1006401","10064","20035","0","1"
"1006402","10064","20163","0","1"
"1006403","10064","20035","1","1"
"1006404","10064","20163","1","1"
"1006405","10064","20321","1","1"
"1006406","10064","20035","2","1"
"1006407","10064","20163","2","1"
"1006408","10064","20321","2","1"
"1006501","10065","20036","0","1"
"1006502","10065","20036","1","1"
"1006503","10065","20228","1","1"
"1006504","10065","20036","2","1"
"1006505","10065","20228","2","1"
"1006601","10066","20037","0","1"
"1006602","10066","20037","1","1"
"1006603","10066","20229","1","1"
"1006604","10066","20037","2","1"
"1006605","10066","20229","2","1"
"1006701","10067","20040","0","1"
"1006702","10067","20040","1","1"
"1006703","10067","20232","1","1"
"1006704","10067","20040","2","1"
"1006705","10067","20232","2","1"
"1006801","10068","20041","0","1"
"1006802","10068","20041","1","1"
"1006803","10068","20233","1","1"
"1006804","10068","20041","2","1"
"1006805","10068","20233","2","1"
"1006901","10069","20044","0","1"
"1006902","10069","20044","1","1"
"1006903","10069","20234","1","1"
"1006904","10069","20044","2","1"
"1006905","10069","20234","2","1"
