"id","ability_no","ability_awake_level","level","description","awake_description"
"1000101","10001","0","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与",""
"1000102","10001","0","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与",""
"1000103","10001","0","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与",""
"1000104","10001","0","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与",""
"1000105","10001","0","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与",""
"1000106","10001","0","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与",""
"1000107","10001","0","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与",""
"1000108","10001","0","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与",""
"1000109","10001","0","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与",""
"1000110","10001","0","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与",""
"1000111","10001","1","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与",""
"1000112","10001","1","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与",""
"1000113","10001","1","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与",""
"1000114","10001","1","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与",""
"1000115","10001","1","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与",""
"1000116","10001","1","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与",""
"1000117","10001","1","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与",""
"1000118","10001","1","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与",""
"1000119","10001","1","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与",""
"1000120","10001","1","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与",""
"1000121","10001","2","1","会心時、自身に【50%】の確率で回避率UP【{15%} / 15秒】を付与",""
"1000122","10001","2","2","会心時、自身に【50%】の確率で回避率UP【{15.8%} / 15秒】を付与",""
"1000123","10001","2","3","会心時、自身に【50%】の確率で回避率UP【{16.6%} / 15秒】を付与",""
"1000124","10001","2","4","会心時、自身に【50%】の確率で回避率UP【{17.5%} / 15秒】を付与",""
"1000125","10001","2","5","会心時、自身に【50%】の確率で回避率UP【{19.1%} / 15秒】を付与",""
"1000126","10001","2","6","会心時、自身に【50%】の確率で回避率UP【{20%} / 15秒】を付与",""
"1000127","10001","2","7","会心時、自身に【50%】の確率で回避率UP【{20.8%} / 15秒】を付与",""
"1000128","10001","2","8","会心時、自身に【50%】の確率で回避率UP【{22.5%} / 15秒】を付与",""
"1000129","10001","2","9","会心時、自身に【50%】の確率で回避率UP【{23.3%} / 15秒】を付与",""
"1000130","10001","2","10","会心時、自身に【50%】の確率で回避率UP【{25%} / 15秒】を付与",""
"1000201","10002","0","1","自身の会心率が【{10%}】上昇",""
"1000202","10002","0","2","自身の会心率が【{10.4%}】上昇",""
"1000203","10002","0","3","自身の会心率が【{10.8%}】上昇",""
"1000204","10002","0","4","自身の会心率が【{11.2%}】上昇",""
"1000205","10002","0","5","自身の会心率が【{12%}】上昇",""
"1000206","10002","0","6","データ未設計",""
"1000207","10002","0","7","データ未設計",""
"1000208","10002","0","8","データ未設計",""
"1000209","10002","0","9","データ未設計",""
"1000210","10002","0","10","データ未設計",""
"1000211","10002","1","1","自身の会心率が{15%}上昇、自身の最大HPが{10%}上昇","テスト覚醒効果"
"1000212","10002","1","2","自身の会心率が{15.8%}上昇、自身の最大HPが{12.5%}上昇","テスト覚醒効果"
"1000213","10002","1","3","自身の会心率が{16.6%}上昇、自身の最大HPが{15%}上昇","テスト覚醒効果"
"1000214","10002","1","4","自身の会心率が{17.5%}上昇、自身の最大HPが{17.5%}上昇","テスト覚醒効果"
"1000215","10002","1","5","自身の会心率が{19.1%}上昇、自身の最大HPが{20%}上昇","テスト覚醒効果"
"1000216","10002","1","6","データ未設計","テスト覚醒効果"
"1000217","10002","1","7","データ未設計","テスト覚醒効果"
"1000218","10002","1","8","データ未設計","テスト覚醒効果"
"1000219","10002","1","9","データ未設計","テスト覚醒効果"
"1000220","10002","1","10","データ未設計","テスト覚醒効果"
"1000221","10002","2","1","自身の会心率が{15%}上昇、自身の最大HPが{10%}上昇","テスト覚醒効果"
"1000222","10002","2","2","自身の会心率が{15.8%}上昇、自身の最大HPが{12.5%}上昇","テスト覚醒効果"
"1000223","10002","2","3","自身の会心率が{16.6%}上昇、自身の最大HPが{15%}上昇","テスト覚醒効果"
"1000224","10002","2","4","自身の会心率が{17.5%}上昇、自身の最大HPが{17.5%}上昇","テスト覚醒効果"
"1000225","10002","2","5","自身の会心率が{19.1%}上昇、自身の最大HPが{20%}上昇","テスト覚醒効果"
"1000226","10002","2","6","データ未設計","テスト覚醒効果"
"1000227","10002","2","7","データ未設計","テスト覚醒効果"
"1000228","10002","2","8","データ未設計","テスト覚醒効果"
"1000229","10002","2","9","データ未設計","テスト覚醒効果"
"1000230","10002","2","10","データ未設計","テスト覚醒効果"
"1000301","10003","0","1","自身の最大HPが【{2.5%}】上昇",""
"1000302","10003","0","2","自身の最大HPが【{4.3%}】上昇",""
"1000303","10003","0","3","自身の最大HPが【{6.2%}】上昇",""
"1000304","10003","0","4","自身の最大HPが【{8.1%}】上昇",""
"1000305","10003","0","5","自身の最大HPが【{11.8%}】上昇",""
"1000306","10003","0","6","自身の最大HPが【{13.7%}】上昇",""
"1000307","10003","0","7","自身の最大HPが【{15.6%}】上昇",""
"1000308","10003","0","8","自身の最大HPが【{19.3%}】上昇",""
"1000309","10003","0","9","自身の最大HPが【{21.2%}】上昇",""
"1000310","10003","0","10","自身の最大HPが【{25%}】上昇",""
"1000401","10004","0","1","自身の攻撃力が【{2.5%}】上昇",""
"1000402","10004","0","2","自身の攻撃力が【{4.3%}】上昇",""
"1000403","10004","0","3","自身の攻撃力が【{6.2%}】上昇",""
"1000404","10004","0","4","自身の攻撃力が【{8.1%}】上昇",""
"1000405","10004","0","5","自身の攻撃力が【{11.8%}】上昇",""
"1000406","10004","0","6","データ未設計",""
"1000407","10004","0","7","データ未設計",""
"1000408","10004","0","8","データ未設計",""
"1000409","10004","0","9","データ未設計",""
"1000410","10004","0","10","データ未設計",""
"1000501","10005","0","1","自身の会心率が【{10%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000502","10005","0","2","自身の会心率が【{10.4%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000503","10005","0","3","自身の会心率が【{10.8%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000504","10005","0","4","自身の会心率が【{11.2%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000505","10005","0","5","自身の会心率が【{12%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000506","10005","0","6","自身の会心率が【{12.5%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000507","10005","0","7","自身の会心率が【{12.9%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000508","10005","0","8","自身の会心率が【{13.7%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000509","10005","0","9","自身の会心率が【{14.1%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000510","10005","0","10","自身の会心率が【{15%}】上昇 / 会心時、自身に紋章：衝撃を【1】付与",""
"1000601","10006","0","1","HPが50%以下のとき、自身の会心率が【{15%}】上昇",""
"1000602","10006","0","2","HPが50%以下のとき、自身の会心率が【{15.4%}】上昇",""
"1000603","10006","0","3","HPが50%以下のとき、自身の会心率が【{15.8%}】上昇",""
"1000604","10006","0","4","HPが50%以下のとき、自身の会心率が【{16.2%}】上昇",""
"1000605","10006","0","5","HPが50%以下のとき、自身の会心率が【{17%}】上昇",""
"1000606","10006","0","6","データ未設計",""
"1000607","10006","0","7","データ未設計",""
"1000608","10006","0","8","データ未設計",""
"1000609","10006","0","9","データ未設計",""
"1000610","10006","0","10","データ未設計",""
"1000701","10007","0","1","紋章：情熱が5以上のとき、自身の攻撃力が【{4%}】上昇",""
"1000702","10007","0","2","紋章：情熱が5以上のとき、自身の攻撃力が【{7%}】上昇",""
"1000703","10007","0","3","紋章：情熱が5以上のとき、自身の攻撃力が【{10%}】上昇",""
"1000704","10007","0","4","紋章：情熱が5以上のとき、自身の攻撃力が【{13%}】上昇",""
"1000705","10007","0","5","紋章：情熱が5以上のとき、自身の攻撃力が【{19%}】上昇",""
"1000706","10007","0","6","紋章：情熱が5以上のとき、自身の攻撃力が【{22%}】上昇",""
"1000707","10007","0","7","紋章：情熱が5以上のとき、自身の攻撃力が【{25%}】上昇",""
"1000708","10007","0","8","紋章：情熱が5以上のとき、自身の攻撃力が【{31%}】上昇",""
"1000709","10007","0","9","紋章：情熱が5以上のとき、自身の攻撃力が【{34%}】上昇",""
"1000710","10007","0","10","紋章：情熱が5以上のとき、自身の攻撃力が【{40%}】上昇",""
"1000801","10008","0","1","自身がスキルで与えるダメージが【{1%}】上昇",""
"1000802","10008","0","2","自身がスキルで与えるダメージが【{1.7%}】上昇",""
"1000803","10008","0","3","自身がスキルで与えるダメージが【{2.5%}】上昇",""
"1000804","10008","0","4","自身がスキルで与えるダメージが【{3.2%}】上昇",""
"1000805","10008","0","5","自身がスキルで与えるダメージが【{4.7%}】上昇",""
"1000806","10008","0","6","データ未設計",""
"1000807","10008","0","7","データ未設計",""
"1000808","10008","0","8","データ未設計",""
"1000809","10008","0","9","データ未設計",""
"1000810","10008","0","10","データ未設計",""
"1000901","10009","0","1","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{1.5%} / 永続】を付与（クエスト中1回まで）",""
"1000902","10009","0","2","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{2.6%} / 永続】を付与（クエスト中1回まで）",""
"1000903","10009","0","3","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{3.7%} / 永続】を付与（クエスト中1回まで）",""
"1000904","10009","0","4","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{4.8%} / 永続】を付与（クエスト中1回まで）",""
"1000905","10009","0","5","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{7.1%} / 永続】を付与（クエスト中1回まで）",""
"1000906","10009","0","6","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{8.2%} / 永続】を付与（クエスト中1回まで）",""
"1000907","10009","0","7","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{9.3%} / 永続】を付与（クエスト中1回まで）",""
"1000908","10009","0","8","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{11.6%} / 永続】を付与（クエスト中1回まで）",""
"1000909","10009","0","9","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{12.7%} / 永続】を付与（クエスト中1回まで）",""
"1000910","10009","0","10","紋章：情熱が5以上になったとき、味方全体にスキルチャージ効率UP【{15%} / 永続】を付与（クエスト中1回まで）",""
"1001001","10010","0","1","味方全体の最大HPが【{0.5%}】上昇",""
"1001002","10010","0","2","味方全体の最大HPが【{0.8%}】上昇",""
"1001003","10010","0","3","味方全体の最大HPが【{1.2%}】上昇",""
"1001004","10010","0","4","味方全体の最大HPが【{1.6%}】上昇",""
"1001005","10010","0","5","味方全体の最大HPが【{2.3%}】上昇",""
"1001006","10010","0","6","データ未設計",""
"1001007","10010","0","7","データ未設計",""
"1001008","10010","0","8","データ未設計",""
"1001009","10010","0","9","データ未設計",""
"1001010","10010","0","10","データ未設計",""
"1001101","10011","0","1","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{110%}】ダメージ / ノックバック【Lv3】に変化",""
"1001102","10011","0","2","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{113.3%}】ダメージ / ノックバック【Lv3】に変化",""
"1001103","10011","0","3","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{116.6%}】ダメージ / ノックバック【Lv3】に変化",""
"1001104","10011","0","4","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{120%}】ダメージ / ノックバック【Lv3】に変化",""
"1001105","10011","0","5","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{126.6%}】ダメージ / ノックバック【Lv3】に変化",""
"1001106","10011","0","6","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{130%}】ダメージ / ノックバック【Lv3】に変化",""
"1001107","10011","0","7","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{133.3%}】ダメージ / ノックバック【Lv3】に変化",""
"1001108","10011","0","8","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{140%}】ダメージ / ノックバック【Lv3】に変化",""
"1001109","10011","0","9","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{143.3%}】ダメージ / ノックバック【Lv3】に変化",""
"1001110","10011","0","10","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{150%}】ダメージ / ノックバック【Lv3】に変化",""
"1001111","10011","1","1","【発動条件】通常攻撃を2回行う
【効果】次回の通常攻撃が【1HIT / 合計{110%}】ダメージ / ノックバック【Lv3】に変化","自身の攻撃力と防御力と最大HPが【{5%}】上昇"
