"id","type","value"
"10001","1","1000"
"10002","1","1000"
"10003","1","1000"
"10004","1","1000"
"10005","1","1000"
"10006","1","1000"
"10007","1","1000"
"10008","1","1000"
"10009","1","1000"
"10010","1","1000"
"10011","1","1000"
"10101","1","1000"
"10102","1","1000"
"10103","1","1000"
"10104","1","1000"
"10105","1","1000"
"10106","1","1000"
"10107","1","1000"
"10108","1","1000"
"10109","1","1000"
"10110","1","1000"
"10111","1","1000"
"10112","1","1000"
"10113","1","1000"
"10114","1","1000"
"10115","1","1000"
"10116","1","1000"
"10117","1","1000"
"10501","1","1000"
"10511","1","1000"
"10521","1","1000"
"10531","1","1000"
"10541","1","1000"
"10601","1","1000"
"10900","900","10"
"10901","900","20"
"10902","900","30"
"10903","900","40"
"10904","900","50"
"10905","900","60"
"10906","900","70"
"10907","900","80"
"10908","900","90"
"10909","900","100"
"10910","900","110"
"10911","900","120"
"10912","900","130"
"10913","900","140"
"10914","900","150"
"10915","900","160"
"10916","900","170"
"10917","900","180"
"10918","900","190"
"10919","900","200"
"10920","902","10"
"10921","902","20"
"10922","902","30"
"10923","902","40"
"10924","902","50"
"10925","902","60"
"10926","902","70"
"10927","902","80"
"10928","902","90"
"10929","902","100"
"10930","902","110"
"10931","902","120"
"10932","902","130"
"10933","902","140"
"10934","902","150"
"10935","902","160"
"10936","902","170"
"10937","902","180"
"10938","902","190"
"10939","902","200"
"11001","1","1000"
"11002","1","1000"
"11003","1","1000"
"11004","1","1000"
"11005","1","1000"
"11006","1","1000"
"11007","1","1000"
"11008","1","1000"
"11009","1","1000"
"11010","1","1000"
"11011","1","1000"
"11012","1","1000"
"11013","1","1000"
"11014","1","1000"
"11015","1","1000"
"11016","1","1000"
"11017","1","1000"
"11018","1","1000"
"11019","1","1000"
"11020","1","1000"
"11021","1","1000"
"11022","1","1000"
"11023","1","1000"
"11024","1","1000"
"11025","1","1000"
"11026","1","1000"
"11027","1","1000"
"11028","1","1000"
"11029","1","1000"
"11030","1","1000"
"11031","1","1000"
"11032","1","1000"
"11033","1","1000"
"11034","1","1000"
"11035","1","1000"
"11036","1","1000"
"11037","1","1000"
"11038","1","1000"
"11039","1","1000"
"11040","1","1000"
"11041","1","1000"
"11042","1","1000"
"13001","1","1000"
"13002","1","1000"
"13003","1","1000"
"13004","1","1000"
"13005","1","1000"
"13006","1","1000"
"13007","1","1000"
"13008","1","1000"
"13009","1","1000"
"13010","1","1000"
"13011","1","1000"
"13012","1","1000"
"13013","1","1000"
"13014","1","1000"
"13015","1","1000"
"13016","1","1000"
"13017","1","1000"
"13018","1","1000"
"13019","1","1000"
"13020","1","1000"
"13021","1","1000"
"13022","1","1000"
"13023","1","1000"
"13024","1","1000"
"13025","1","1000"
"13026","1","1000"
"13027","1","1000"
"13028","1","1000"
"13029","1","1000"
"13030","1","1000"
"13031","1","1000"
"13032","1","1000"
"13033","1","1000"
