"id","m_character_ability_id","level","condition_type","condition_value"
"1","110000102","1","2","5"
"2","110000202","1","2","5"
"3","110000302","1","2","5"
"4","110000402","1","2","5"
"5","110000502","1","2","5"
"6","110000602","1","2","5"
"7","110000702","1","2","5"
"8","110000802","1","2","5"
"9","110000902","1","2","5"
"10","110001002","1","2","5"
"11","110001102","1","2","5"
"12","110001202","1","2","5"
"13","110001302","1","2","5"
"14","110001402","1","2","5"
"15","110001502","1","2","5"
"16","110001602","1","2","5"
"17","120000102","1","2","5"
"18","120000202","1","2","5"
"19","120000302","1","2","5"
"20","120000402","1","2","5"
"21","120000502","1","2","5"
"22","120000602","1","2","5"
"23","120000802","1","2","5"
"24","120001102","1","2","5"
"25","120001202","1","2","5"
"26","120001302","1","2","5"
"27","120001402","1","2","5"
"28","120001502","1","2","5"
"29","120001602","1","2","5"
"30","120001702","1","2","5"
"31","120001802","1","2","5"
"32","130000103","1","2","5"
"33","130000203","1","2","5"
"34","130000303","1","2","5"
"35","130000403","1","2","5"
"36","130000503","1","2","5"
"37","130000603","1","2","5"
"38","130000703","1","2","5"
"39","130000803","1","2","5"
"40","130000903","1","2","5"
"41","130001003","1","2","5"
"42","130001103","1","2","5"
"43","130001203","1","2","5"
"44","130001303","1","2","5"
"45","130001403","1","2","5"
"46","130001503","1","2","5"
"47","130001603","1","2","5"
"48","130001703","1","2","5"
"49","130001803","1","2","5"
"50","130001903","1","2","5"
"51","130002003","1","2","5"
"52","130002103","1","2","5"
"53","130002203","1","2","5"
"54","130002303","1","2","5"
"55","130002403","1","2","5"
"56","130002503","1","2","5"
"57","130002603","1","2","5"
"58","130002703","1","2","5"
"59","130002803","1","2","5"
"60","130002903","1","2","5"
"61","130003003","1","2","5"
"62","130003103","1","2","5"
"63","130003203","1","2","5"
"64","130003303","1","2","5"
"65","130003403","1","2","5"
"66","130003503","1","2","5"
"67","130003603","1","2","5"
"68","130003703","1","2","5"
"69","130003803","1","2","5"
"70","130003903","1","2","5"
"71","130004003","1","2","5"
"72","130004103","1","2","5"
"73","130004203","1","2","5"
"74","130004303","1","2","5"
"75","130004403","1","2","5"
"76","130004503","1","2","5"
"77","130004603","1","2","5"
"78","130004703","1","2","5"
"79","130004803","1","2","5"
"80","130000103","6","2","15"
"81","130000203","6","2","15"
"82","130000303","6","2","15"
"83","130000403","6","2","15"
"84","130000503","6","2","15"
"85","130000603","6","2","15"
"86","130000703","6","2","15"
"87","130000803","6","2","15"
"88","130000903","6","2","15"
"89","130001003","6","2","15"
"90","130001103","6","2","15"
"91","130001203","6","2","15"
"92","130001303","6","2","15"
"93","130001403","6","2","15"
"94","130001503","6","2","15"
"95","130001603","6","2","15"
"96","130001703","6","2","15"
"97","130001803","6","2","15"
"98","130001903","6","2","15"
"99","130002003","6","2","15"
"100","130002103","6","2","15"
"101","130002203","6","2","15"
"102","130002303","6","2","15"
"103","130002403","6","2","15"
"104","130002503","6","2","15"
"105","130002603","6","2","15"
"106","130002703","6","2","15"
"107","130002803","6","2","15"
"108","130002903","6","2","15"
"109","130003003","6","2","15"
"110","130003103","6","2","15"
"111","130003203","6","2","15"
"112","130003303","6","2","15"
"113","130003403","6","2","15"
"114","130003503","6","2","15"
"115","130003603","6","2","15"
"116","130003703","6","2","15"
"117","130003803","6","2","15"
"118","130003903","6","2","15"
"119","130004003","6","2","15"
"120","130004103","6","2","15"
"121","130004203","6","2","15"
"122","130004303","6","2","15"
"123","130004403","6","2","15"
"124","130004503","6","2","15"
"125","130004603","6","2","15"
"126","130004703","6","2","15"
"127","130004803","6","2","15"
"128","120001902","1","2","5"
