"id","m_character_id","asset_id","name","ability_no","order"
"110000101","1100001","Ability_Defense_01","心眼開明","10001","1"
"110000102","1100001","Ability_Critical_01","神速一閃","10002","2"
"110000201","1100002","Ability_Defense_01","神の祝福","10003","1"
"110000202","1100002","Ability_Attack_01","士気高揚","10004","2"
"110000301","1100003","Ability_Defense_01","クイックステップ","10117","1"
"110000302","1100003","Ability_Attack_01","鉄槌一閃","10118","2"
"110000401","1100004","Ability_Attack_01","巫女の底力","10119","1"
"110000402","1100004","Ability_Critical_01","観天望気","10120","2"
"110000501","1100005","Ability_Attack_01","エルフの弓術","10121","1"
"110000502","1100005","Ability_Attack_01","精密射撃","10122","2"
"110000601","1100006","Ability_Attack_01","勝利への啓示","10123","1"
"110000602","1100006","Ability_Critical_01","天運の託宣","10124","2"
"110000701","1100007","Ability_Attack_01","対人弾圧","10125","1"
"110000702","1100007","Ability_Attack_01","物理的強制執行","10126","2"
"110000801","1100008","Ability_Attack_01","よっしゃ、いくぞー！","10127","1"
"110000802","1100008","Ability_Attack_01","推し活パワー！","10128","2"
"110000901","1100009","Ability_Mana_01","鉱石マイスター","10129","1"
"110000902","1100009","Ability_Attack_01","鉱脈の鼓動","10130","2"
"110001001","1100010","Ability_Heal_01","不朽不滅","10131","1"
"110001002","1100010","Ability_Defense_01","鉄壁の肉体","10132","2"
"110001101","1100011","Ability_Attack_01","ロックオン","10103","1"
"110001102","1100011","Ability_Attack_01","ウィークポイント","10104","2"
"110001201","1100012","Ability_Attack_01","ヘッドショット","10133","1"
"110001202","1100012","Ability_Attack_01","傭兵の心得","10134","2"
"110001301","1100013","Ability_Attack_01","烈火の剣舞","10135","1"
"110001302","1100013","Ability_ConditionResist_01","フレイム・オーラ","10136","2"
"110001401","1100014","Ability_Defense_01","生命の蕾","10137","1"
"110001402","1100014","Ability_Defense_01","最後の花弁","10138","2"
"110001501","1100015","Ability_Defense_01","魔石細工の灯火","10139","1"
"110001502","1100015","Ability_Defense_01","人見知り少女の想い","10140","2"
"110001601","1100016","Ability_Attack_01","氷の矢","10141","1"
"110001602","1100016","Ability_ConditionAttack_01","心を射貫く笑顔","10142","2"
"120000101","1200001","Ability_Critical_01","騎士の覚悟","10005","1"
"120000102","1200001","Ability_Critical_01","不屈の闘志","10006","2"
"120000201","1200002","Ability_Attack_01","フォーカス","10007","1"
"120000202","1200002","Ability_Attack_01","火炎魔術師","10008","2"
"120000301","1200003","Ability_Attack_01","出血大サービス","10009","1"
"120000302","1200003","Ability_Defense_01","備蓄万全","10010","2"
"120000401","1200004","Ability_Manatype_Grant","宝石蒐集","10111","1"
"120000402","1200004","Ability_Critical_01","盗賊の本領","10112","2"
"120000501","1200005","Ability_ConditionAttack_01","ゴシップ情報","10101","1"
"120000502","1200005","Ability_Attack_01","特ダネを求めて","10102","2"
"120000601","1200006","Ability_Defense_01","エルドラーナ共和国警備隊","10143","1"
"120000602","1200006","Ability_Defense_01","ビキニの誘惑","10144","2"
"120000801","1200008","Ability_Attack_01","副官の矜持","10145","1"
"120000802","1200008","Ability_Attack_01","先声奪人","10146","2"
"120001101","1200011","Ability_Attack_01","淑女の祝福","10113","1"
"120001102","1200011","Ability_Defense_01","慈愛の加護","10114","2"
"120001201","1200012","Ability_Critical_01","暗殺術","10147","1"
"120001202","1200012","Ability_Attack_01","黒の舞踏","10148","2"
"120001301","1200013","Ability_Defense_01","闇堕ちの結界","10149","1"
"120001302","1200013","Ability_Manatype_Grant","鎖に繋がれし因果","10150","2"
"120001401","1200014","Ability_Attack_01","年の功","10115","1"
"120001402","1200014","Ability_Defense_01","ドワーフの加護","10116","2"
"120001501","1200015","Ability_Attack_01","焔の揺らめき","10151","1"
"120001502","1200015","Ability_Attack_01","猛火追撃","10152","2"
"120001601","1200016","Ability_Attack_01","騎士道","10086","1"
"120001602","1200016","Ability_Manatype_Grant","イージスガード","10087","2"
"120001701","1200017","Ability_Attack_01","私も一緒に戦いたい","10088","1"
"120001702","1200017","Ability_Attack_01","帰郷への意志","10089","2"
"120001801","1200018","Ability_Critical_01","野生","10090","1"
"120001802","1200018","Ability_Attack_01","元気","10091","2"
"120001901","1200019","Ability_ConditionAttack_01","砂空を舞う魔族","10162","1"
"120001902","1200019","Ability_Attack_01","太古の秘術","10163","2"
"130000101","1300001","Ability_SpecialAttack_01","ダンシング・フープ","10011","1"
"130000102","1300001","Ability_Attack_01","盛り上がってきました！","10012","2"
