"id","m_character_id","trigger_type","name","description"
"1100001000","1100001","20","粉骨砕身","自身の前方範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：衝撃を【2】付与"
"1100001001","1100001","30","粉骨砕身","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】に変化"
"1100002000","1100002","20","大地の御加護","HPが最も低い味方を中心とした範囲内にいる味方全体に自身の最大HP【{[PRJCTL.THROW.RECOVER.HEAL_PERCENT]}】分の回復"
"1100002001","1100002","30","大地の御加護","さらに自身に紋章：情熱を【3】付与 / 紋章：情熱が5以上のとき、対象に自身の最大HP【{[PRJCTL.THROW.ZEAL.BARRIER.RATE]}】分のバリア【15秒】を付与"
"1100003000","1100003","20","ライトニングアッパー","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100003001","1100003","30","ライトニングアッパー","紋章：衝撃を5消費し、ダメージ倍率が【{[IMPACTSUCCEED.DAMAGE.DAMAGE_FIRST_PERCENT]}】上昇"
"1100004000","1100004","20","龍神の怒り","最も近い敵を中心とした範囲内にいる敵全体に【1HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ / 自身に紋章：衝撃を【2】付与"
"1100004001","1100004","30","龍神の怒り","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】上昇"
"1100005000","1100005","20","アローレイン","最も近い敵を中心とした範囲内にいる敵全体に【3HIT / 合計{[PRJCTL.THROW.DAMAGE.DAMAGE_PERCENT]}】ダメージ"
"1100005001","1100005","30","アローレイン","紋章：衝撃を5消費し、ダメージ倍率が【{[PRJCTL.THROW.IMPACTSUCCEED.DAMAGE.DAMAGE_PERCENT]}】上昇"
"1100006000","1100006","20","清泉の癒し","HP割合が最も低い味方1体に通常回復の【{[RECOVER.HEAL_PERCENT]}】回復 / 会心率UP【{[CRITICALUP.FIXED_PERCENT]} / 10秒】を付与"
