"id","m_character_id","type","rarity","name","description","serif","is_default","bonus_bond_point","is_collabo","released_at","asset_id","bg_asset_id","display_order"
"110000101","1100001","1","1","シャオレイ基本コスチューム","シャオレイの基本コスチュームです。","シャオレイたくさん学んで強くなりたい
だから色々おしえてね、先生","1","0","0","2024-01-01 00:00:00","100401000G","abg10100a","1"
"110000102","1100001","2","1","シャオレイおしごと時基本コスチューム","シャオレイの基本コスチュームです。","シャオレイたくさん学んで強くなりたい
だから色々おしえてね、先生","1","0","0","2024-01-01 00:00:00","100401000X","abg10100a","1"
"110000201","1100002","1","1","ノエミ基本コスチューム","ノエミの基本コスチュームです。","何があろうと、皆さんの傷は
この手で癒してみせます！","1","0","0","2024-01-01 00:00:00","100601000G","abg10100a","1"
"110000202","1100002","2","1","ノエミおしごと時基本コスチューム","ノエミの基本コスチュームです。","何があろうと、皆さんの傷は
この手で癒してみせます！","1","0","0","2024-01-01 00:00:00","100601000X","abg10100a","1"
"110000301","1100003","1","1","ルカ基本コスチューム","ルカの基本コスチュームです。","これが世界一の格闘家の第一歩！
あたしより強いヤツ、どこかに居る？","1","0","0","2024-01-01 00:00:00","104001000G","abg10100a","1"
"110000302","1100003","2","1","ルカおしごと時基本コスチューム","ルカの基本コスチュームです。","これが世界一の格闘家の第一歩！
あたしより強いヤツ、どこかに居る？","1","0","0","2024-01-01 00:00:00","104001000X","abg10100a","1"
"110000401","1100004","1","1","ヤチヨ基本コスチューム","ヤチヨの基本コスチュームです。","これも龍神さまのお導き……
どうかよろしくお願いします！","1","0","0","2024-01-01 00:00:00","104401000G","abg10100a","1"
"110000402","1100004","2","1","ヤチヨおしごと時基本コスチューム","ヤチヨの基本コスチュームです。","これも龍神さまのお導き……
どうかよろしくお願いします！","1","0","0","2024-01-01 00:00:00","104401000X","abg10100a","1"
"110000501","1100005","1","1","エルミア基本コスチューム","エルミアの基本コスチュームです。","ここが前線基地か……ここなら
少しは面白いことがあるかもな","1","0","0","2024-01-01 00:00:00","104601000G","abg10100a","1"
"110000502","1100005","2","1","エルミアおしごと時基本コスチューム","エルミアの基本コスチュームです。","ここが前線基地か……ここなら
少しは面白いことがあるかもな","1","0","0","2024-01-01 00:00:00","104601000X","abg10100a","1"
"110000601","1100006","1","1","メレム基本コスチューム","メレムの基本コスチュームです。","これが……
私の新たな運命……","1","0","0","2024-01-01 00:00:00","104701000G","abg10100a","1"
"110000602","1100006","2","1","メレムおしごと時基本コスチューム","メレムの基本コスチュームです。","これが……
私の新たな運命……","1","0","0","2024-01-01 00:00:00","104701000X","abg10100a","1"
"110000701","1100007","1","1","セレスト基本コスチューム","セレストの基本コスチュームです。","あたしの言う通りにしないと
逮捕するから","1","0","0","2024-01-01 00:00:00","104801000G","abg10100a","1"
"110000702","1100007","2","1","セレストおしごと時基本コスチューム","セレストの基本コスチュームです。","あたしの言う通りにしないと
逮捕するから","1","0","0","2024-01-01 00:00:00","104801000X","abg10100a","1"
"110000801","1100008","1","1","クロエ基本コスチューム","クロエの基本コスチュームです。","推しのためなら、最前に
駆けつけますよ！　それが騎士活です！","1","0","0","2024-01-01 00:00:00","104901000G","abg10100a","1"
"110000802","1100008","2","1","クロエおしごと時基本コスチューム","クロエの基本コスチュームです。","推しのためなら、最前に
駆けつけますよ！　それが騎士活です！","1","0","0","2024-01-01 00:00:00","104901000X","abg10100a","1"
"110000901","1100009","1","1","ベティ基本コスチューム","ベティの基本コスチュームです。","ミレスガルド工兵隊のベティ！
ただいま現場に到着したであります！","1","0","0","2024-01-01 00:00:00","105001000G","abg10100a","1"
"110000902","1100009","2","1","ベティおしごと時基本コスチューム","ベティの基本コスチュームです。","ミレスガルド工兵隊のベティ！
ただいま現場に到着したであります！","1","0","0","2024-01-01 00:00:00","105001000X","abg10100a","1"
"110001001","1100010","1","1","フェイリン基本コスチューム","フェイリンの基本コスチュームです。","うう、もう寒いのはいやです……
誰か、温めてください……","1","0","0","2024-01-01 00:00:00","105101000G","abg10100a","1"
"110001002","1100010","2","1","フェイリンおしごと時基本コスチューム","フェイリンの基本コスチュームです。","うう、もう寒いのはいやです……
誰か、温めてください……","1","0","0","2024-01-01 00:00:00","105101000X","abg10100a","1"
"110001101","1100011","1","1","シェリル基本コスチューム","シェリルの基本コスチュームです。","えー、仕事ですかぁ？
はぁ、やだなぁ、面倒だなぁ……","1","0","0","2024-01-01 00:00:00","105201000G","abg10100a","1"
"110001102","1100011","2","1","シェリルおしごと時基本コスチューム","シェリルの基本コスチュームです。","えー、仕事ですかぁ？
はぁ、やだなぁ、面倒だなぁ……","1","0","0","2024-01-01 00:00:00","105201000X","abg10100a","1"
"110001201","1100012","1","1","シャノン基本コスチューム","シャノンの基本コスチュームです。","あんたが依頼人か？
傭兵のシャノンだ。上手く使ってくれ。","1","0","0","2024-01-01 00:00:00","105301000G","abg10100a","1"
"110001202","1100012","2","1","シャノンおしごと時基本コスチューム","シャノンの基本コスチュームです。","あんたが依頼人か？
傭兵のシャノンだ。上手く使ってくれ。","1","0","0","2024-01-01 00:00:00","105301000X","abg10100a","1"
"110001301","1100013","1","1","フレイヤ基本コスチューム","フレイヤの基本コスチュームです。","皆さん、わたしが来たからには
もう安心ですよ！","1","0","0","2024-01-01 00:00:00","105401000G","abg10100a","1"
"110001302","1100013","2","1","フレイヤおしごと時基本コスチューム","フレイヤの基本コスチュームです。","皆さん、わたしが来たからには
もう安心ですよ！","1","0","0","2024-01-01 00:00:00","105401000X","abg10100a","1"
"110001401","1100014","1","1","リタ基本コスチューム","リタの基本コスチュームです。","あぁ、憧れの司令官さま……
ようやくお会いできました！","1","0","0","2024-01-01 00:00:00","105501000G","abg10100a","1"
"110001402","1100014","2","1","リタおしごと時基本コスチューム","リタの基本コスチュームです。","あぁ、憧れの司令官さま……
ようやくお会いできました！","1","0","0","2024-01-01 00:00:00","105501000X","abg10100a","1"
"110001501","1100015","1","1","スティーラ基本コスチューム","スティーラの基本コスチュームです。","いい魔石細工ができたなあ……
司令官様にあげたいけど……","1","0","0","2024-01-01 00:00:00","105901000G","abg10100a","1"
"110001502","1100015","2","1","スティーラおしごと時基本コスチューム","スティーラの基本コスチュームです。","いい魔石細工ができたなあ……
司令官様にあげたいけど……","1","0","0","2024-01-01 00:00:00","105901000X","abg10100a","1"
"110001601","1100016","1","1","テルー基本コスチューム","テルーの基本コスチュームです。","さぁ、楽しい大道芸の始まりだよ♪ 
最後まで見逃さないでね！","1","0","0","2024-01-01 00:00:00","106001000G","abg10100a","1"
"110001602","1100016","2","1","テルーおしごと時基本コスチューム","テルーの基本コスチュームです。","さぁ、楽しい大道芸の始まりだよ♪ 
最後まで見逃さないでね！","1","0","0","2024-01-01 00:00:00","106001000X","abg10100a","1"
"120000101","1200001","1","1","ローザ基本コスチューム","ローザの基本コスチュームです。","わたしがいる限り、誰一人
泣かせはしませんよ！","1","0","0","2024-01-01 00:00:00","100101000G","abg10100a","1"
"120000102","1200001","2","1","ローザおしごと時基本コスチューム","ローザの基本コスチュームです。","わたしがいる限り、誰一人
泣かせはしませんよ！","1","0","0","2024-01-01 00:00:00","100101000X","abg10100a","1"
"120000201","1200002","1","1","ベリサ基本コスチューム","ベリサの基本コスチュームです。","最強の天才美少女魔法使い
ベリサちゃん参上～♡","1","0","0","2024-01-01 00:00:00","100201000G","abg10100a","1"
"120000202","1200002","1","2","夢見るふわもこウェア","魔力が湧かないそんな日は、
ふわふわのルームウェアで１日中ゴロゴロ。
そんな休日もあったっていいじゃない！","ベリサちゃんの部屋着姿、かわい～？
ふふ、デレデレしちゃって♪　ざ～こ♪","0","0","0","2024-01-01 00:00:00","100201001G","abg13000b","2"
"120000203","1200002","2","1","ベリサおしごと時基本コスチューム","ベリサの基本コスチュームです。","最強の天才美少女魔法使い
ベリサちゃん参上～♡","1","0","0","2024-01-01 00:00:00","100201000X","abg10100a","1"
"120000301","1200003","1","1","マリナ基本コスチューム","マリナの基本コスチュームです。","エルドラーナの商人、マリナですぅ～♪
ここはお金の匂いがしますねぇ～♪","1","0","0","2024-01-01 00:00:00","100301000G","abg10100a","1"
"120000302","1200003","2","1","マリナおしごと時基本コスチューム","マリナの基本コスチュームです。","エルドラーナの商人、マリナですぅ～♪
ここはお金の匂いがしますねぇ～♪","1","0","0","2024-01-01 00:00:00","100301000X","abg10100a","1"
"120000401","1200004","1","1","ダリア基本コスチューム","ダリアの基本コスチュームです。","採掘家のダリアです。
以後、お見知りおきを","1","0","0","2024-01-01 00:00:00","103201000G","abg10100a","1"
"120000402","1200004","2","1","ダリアおしごと時基本コスチューム","ダリアの基本コスチュームです。","採掘家のダリアです。
以後、お見知りおきを","1","0","0","2024-01-01 00:00:00","103201000X","abg10100a","1"
"120000501","1200005","1","1","エメルダ基本コスチューム","エメルダの基本コスチュームです。","エルドラーナの記者、エメルダです！
特ダネの情報提供お待ちしてまーす","1","0","0","2024-01-01 00:00:00","103301000G","abg10100a","1"
"120000502","1200005","2","1","エメルダおしごと時基本コスチューム","エメルダの基本コスチュームです。","エルドラーナの記者、エメルダです！
特ダネの情報提供お待ちしてまーす","1","0","0","2024-01-01 00:00:00","103301000X","abg10100a","1"
"120000601","1200006","1","1","カーラ基本コスチューム","カーラの基本コスチュームです。","エルドラーナ共和国警備隊より
派遣されましたカーラです！","1","0","0","2024-01-01 00:00:00","103401000G","abg10100a","1"
"120000602","1200006","2","1","カーラおしごと時基本コスチューム","カーラの基本コスチュームです。","エルドラーナ共和国警備隊より
派遣されましたカーラです！","1","0","0","2024-01-01 00:00:00","103401000X","abg10100a","1"
"120000801","1200008","1","1","ライム基本コスチューム","ライムの基本コスチュームです。","レイゼリア様は命を賭して
お支えする！","1","0","0","2024-01-01 00:00:00","103601000G","abg10100a","1"
"120000802","1200008","2","1","ライムおしごと時基本コスチューム","ライムの基本コスチュームです。","レイゼリア様は命を賭して
お支えする！","1","0","0","2024-01-01 00:00:00","103601000X","abg10100a","1"
"120001101","1200011","1","1","マーガレット基本コスチューム","マーガレットの基本コスチュームです。","神の導きのままに……
共に参りましょう","1","0","0","2024-01-01 00:00:00","103901000G","abg10100a","1"
"120001102","1200011","2","1","マーガレットおしごと時基本コスチューム","マーガレットの基本コスチュームです。","神の導きのままに……
共に参りましょう","1","0","0","2024-01-01 00:00:00","103901000X","abg10100a","1"
"120001201","1200012","1","1","アヤメ基本コスチューム","アヤメの基本コスチュームです。","ご安心ください。
痛みは一瞬ですから","1","0","0","2024-01-01 00:00:00","104101000G","abg10100a","1"
"120001202","1200012","2","1","アヤメおしごと時基本コスチューム","アヤメの基本コスチュームです。","ご安心ください。
痛みは一瞬ですから","1","0","0","2024-01-01 00:00:00","104101000X","abg10100a","1"
"120001301","1200013","1","1","ヘイリー基本コスチューム","ヘイリーの基本コスチュームです。","前世の因果と再び相まみえた喜びを
分かち合おうではないか","1","0","0","2024-01-01 00:00:00","104201000G","abg10100a","1"
