"id","name","rarity","original_m_character_id","element_type","party_position","weapon_type","armor_type","union_type","attack","defence","hp","move_speed","chain_count","chain_waits","chain_interval","critical_probability","critical_damage_ratio","attack_continuous_probability","avoid_probability","knockback_power","knockback_resist","extra_drop_probability","skill_charge","skill_tag","mana_type","open_at"
"1100001","シャオレイ","1","1004","1","1","1030","2010","4","198","180","463","3000","4","2500","30000","50","1500","400","50","0","0","0","40","1","3","2026-01-01 15:00:00"
"1100002","ノエミ","1","1006","4","2","1070","2020","3","180","185","600","3000","2","4000","30000","50","1500","0","0","0","0","0","40","4","2","2026-01-01 15:00:00"
"1100003","ルカ","1","1040","5","1","1030","2010","3","207","180","463","3000","1","2500","30000","50","1500","400","50","0","0","0","30","1","3","2026-01-01 15:00:00"
"1100004","ヤチヨ","1","1044","5","2","1060","2020","4","294","147","427","3000","1","2500","30000","50","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1100005","エルミア","1","1046","1","2","1040","2020","3","277","154","447","3000","1","2500","30000","50","1500","200","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1100006","メレム","1","1047","3","2","1070","2020","4","240","180","440","3000","1","2500","30000","50","1500","0","0","0","0","0","50","3","2","2026-01-01 15:00:00"
"1100007","セレスト","1","1048","3","1","1020","2010","1","218","213","437","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1100008","クロエ","1","1049","6","2","1060","2020","1","254","175","437","3000","1","2500","30000","50","1500","0","0","0","0","0","40","4","3","2026-01-01 15:00:00"
"1100009","ベティ","1","1050","2","3","1080","2030","1","376","134","280","3000","1","2500","30000","50","1500","0","0","0","0","0","60","1","2","2026-01-01 15:00:00"
"1100010","フェイリン","1","1051","6","1","1020","2010","4","192","219","547","3000","1","2500","30000","50","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1100011","シェリル","1","1052","2","2","1050","2020","2","356","166","380","3000","1","2500","30000","50","1500","0","0","0","0","0","60","1","2","2026-01-01 15:00:00"
"1100012","シャノン","1","1053","4","2","1050","2020","3","310","133","459","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1100013","フレイヤ","1","1054","2","1","1010","2010","1","188","235","513","3000","1","2500","30000","50","1500","100","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1100014","リタ","1","1055","4","1","1010","2010","2","153","259","554","3000","1","2500","30000","50","1500","100","0","0","0","0","50","3","2","2026-01-01 15:00:00"
"1100015","スティーラ","1","1059","1","3","1080","2030","2","186","255","461","3000","1","2500","30000","50","1500","0","0","0","0","0","40","4","3","2026-01-01 15:00:00"
"1100016","テルー","1","1060","3","2","1040","2020","2","212","203","439","3000","1","2500","30000","50","1500","200","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1200001","ローザ","2","1001","5","1","1010","2010","1","187","288","639","3000","3","2200","20000","50","1500","100","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1200002","ベリサ","2","1002","2","2","1060","2020","2","294","193","543","3000","4","3000","30000","50","1500","0","0","0","0","0","40","1","2","2026-01-01 15:00:00"
"1200003","マリナ","2","1003","3","3","1080","2030","3","240","240","560","3000","1","3500","25000","50","1500","0","0","0","0","0","50","3","2","2026-01-01 15:00:00"
"1200004","ダリア","2","1032","6","3","1080","2030","4","240","204","560","3000","1","2500","30000","50","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1200005","エメルダ","2","1033","6","2","1040","2020","3","305","192","466","3000","1","2500","30000","50","1500","200","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1200006","カーラ","2","1034","3","1","1010","2010","3","267","216","515","3000","1","2500","30000","50","1500","100","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1200008","ライム","2","1036","5","2","1050","2020","1","353","185","446","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1200011","マーガレット","2","1039","1","2","1070","2020","1","220","260","450","3000","1","2500","30000","50","1500","0","0","0","0","0","25","3","3","2026-01-01 15:00:00"
"1200012","アヤメ","2","1041","6","2","1050","2020","4","353","158","564","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1200013","ヘイリー","2","1042","1","1","1020","2010","4","182","291","728","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1200014","ジェンマ","2","1043","4","3","1080","2030","2","260","210","560","3000","1","2500","30000","50","1500","0","0","0","0","0","40","4","2","2026-01-01 15:00:00"
"1200015","イオラ","2","1045","2","1","1030","2010","2","180","260","537","3000","1","2500","30000","50","1500","400","50","0","0","0","50","1","2","2026-01-01 15:00:00"
"1200016","ソフィア","2","1065","5","1","1010","2010","1","169","278","721","3000","1","2500","30000","50","1500","100","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1200017","ヒマリ","2","1066","6","2","1050","2020","5","410","238","792","3000","1","2500","30000","100","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1200018","クルル","2","1067","4","1","1030","2010","4","216","230","500","3000","1","2500","30000","50","1500","400","50","0","0","0","50","1","2","2026-01-01 15:00:00"
"1200019","アイシャ","2","1071","1","2","1060","2020","4","285","196","523","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1300001","レヴィエーヌ","3","1009","2","1","1030","2010","3","365","266","601","3000","4","2800","20000","50","1500","400","50","0","0","0","40","1","2","2026-06-18 12:00:00"
"1300002","コトノ","3","1011","4","1","1020","2010","4","330","308","865","3000","4","2500","30000","50","1500","0","0","0","0","0","40","1","2","2026-07-24 13:00:00"
"1300003","エティア","3","1012","1","2","1050","2020","3","467","207","818","3000","4","2800","20000","50","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1300004","フレデリカ","3","1013","6","2","1070","2020","3","330","347","693","3000","4","2800","20000","50","1500","0","0","0","0","0","40","5","3","2026-01-01 15:00:00"
"1300005","フィルム","3","1007","6","1","1020","2010","1","356","303","819","3000","4","2800","20000","50","1500","0","0","0","0","0","40","6","3","2026-01-01 15:00:00"
"1300006","グラディア","3","1018","4","3","1080","2030","3","385","367","620","3000","4","2800","20000","50","1500","0","0","0","0","0","70","1","2","2026-07-05 10:00:00"
"1300007","ウィステリア","3","1016","2","2","1040","2020","1","462","248","627","3000","4","2800","20000","50","1500","200","0","0","0","0","40","1","2","2026-01-01 15:00:00"
"1300008","エレクトラ","3","1005","1","2","1050","2020","5","502","242","850","3000","1","2500","30000","100","1600","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1300009","ヴィーラ","3","1008","3","2","1060","2020","2","436","314","726","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1300010","ディアーナ","3","1010","5","2","1040","2020","4","368","290","702","3000","1","2500","30000","50","1500","200","0","0","0","0","50","1","3","2026-06-18 12:00:00"
"1300011","ピコ","3","1014","6","3","1080","2030","5","376","371","834","3000","1","2500","30000","100","1600","0","0","0","0","0","50","4","3","2026-01-01 15:00:00"
"1300012","イライザ","3","1015","5","1","1010","2010","2","303","267","788","3000","1","2500","30000","50","1500","100","0","0","0","0","40","1","3","2026-08-25 10:00:00"
"1300014","ルシータ","3","1019","2","2","1050","2020","3","470","222","760","3000","1","2500","30000","50","1500","0","0","0","0","0","60","6","2","2026-06-25 10:00:00"
"1300015","ラヴェリア","3","1020","2","1","1020","2010","5","413","304","918","3000","1","2500","30000","100","1600","0","0","0","0","0","50","1","2","2026-01-01 15:00:00"
"1300016","ヒュメナ","3","1021","3","1","1030","2010","1","335","234","657","3000","1","2500","30000","50","1500","400","50","0","0","0","50","1","2","2026-01-01 15:00:00"
"1300018","エアリエル","3","1023","5","2","1070","2020","2","298","346","808","3000","1","2500","30000","50","1500","0","0","0","0","0","40","3","3","2026-08-20 13:00:00"
"1300019","マニョリア","3","1024","4","2","1060","2020","3","383","281","750","3000","1","2500","30000","50","1500","0","0","0","0","0","60","6","2","2026-01-01 15:00:00"
"1300020","ウェンディ","3","1025","1","1","1020","2010","2","305","328","873","3000","1","2500","30000","50","1500","0","0","0","0","0","40","1","3","2026-01-01 15:00:00"
"1300021","シルヴィア","3","1026","3","1","1010","2010","5","279","437","941","3000","1","2500","30000","100","1600","100","0","0","0","0","60","1","2","2026-01-01 15:00:00"
"1300023","エミリー","3","1028","5","3","1080","2030","3","330","242","880","3000","1","2500","30000","50","1500","0","0","0","0","0","70","3","3","2026-01-01 15:00:00"
"1300024","ミルティーユ","3","1029","4","2","1070","2020","5","344","356","862","3000","1","2500","30000","100","1500","0","0","0","0","0","50","3","2","2026-01-01 15:00:00"
"1300026","ハツネ","3","1031","1","1","1010","2010","4","292","358","841","3000","1","2500","30000","50","1500","100","0","0","0","0","50","1","3","2026-01-01 15:00:00"
"1300027","フィオナ","3","1056","3","2","1040","2020","3","319","251","709","3000","1","2500","30000","50","1500","200","0","0","0","0","50","1","2","2026-07-17 13:00:00"
"1300029","クレハ","3","1058","2","1","1010","2010","4","248","411","865","3000","1","2500","30000","50","1500","100","0","0","0","0","40","1","2","2026-06-30 13:00:00"
"1300030","ニナ","3","1061","5","1","1030","2010","2","310","291","672","3000","1","2500","30000","50","1500","400","50","0","0","0","40","1","3","2026-01-01 15:00:00"
"1300031","ヒナギ","3","1062","3","2","1070","2020","4","291","394","795","3000","1","2500","30000","50","1500","0","0","0","0","0","50","3","2","2026-01-01 15:00:00"
"1300032","ホノカ","3","1063","2","3","1080","2030","4","284","365","809","3000","1","2500","30000","50","1500","0","0","0","0","0","60","4","2","2026-01-01 15:00:00"
"1300033","ラモーナ","3","1064","4","2","1040","2020","2","350","293","724","3000","1","2500","30000","50","1500","200","0","0","0","0","70","5","2","2026-01-01 15:00:00"
"1300034","シラエス","3","1068","1","2","1060","2020","4","428","269","653","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-06-30 13:00:00"
"1300035","リエラ","3","1069","6","2","1050","2020","4","462","235","755","3000","1","2500","30000","50","1500","0","0","0","0","0","50","1","3","2026-07-10 13:00:00"
