"Catalog","AbilityEffectAssetId","EffectCode","TargetCode","SituationCode","ScopeCode","SubAssetCount","PathId"
"NetherCodeAbilityEffectAssetCatalog","100001","ParameterBuff","Self","GameStart","PlayerSideOnly","4","6176287902331035698"
"NetherCodeAbilityEffectAssetCatalog","100002","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","-501073231657401627"
"NetherCodeAbilityEffectAssetCatalog","100003","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","239990714448848734"
"NetherCodeAbilityEffectAssetCatalog","100004","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","7869152319706522116"
"NetherCodeAbilityEffectAssetCatalog","100005","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","4715835125488798287"
"NetherCodeAbilityEffectAssetCatalog","100006","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","5904684386438612599"
"NetherCodeAbilityEffectAssetCatalog","100007","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","-5162061998213330279"
"NetherCodeAbilityEffectAssetCatalog","100008","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","-6623092789126525431"
"NetherCodeAbilityEffectAssetCatalog","100009","ParameterBuff","FriendAll","SpendBuff","PlayerSideOnly","4","7367603885741616908"
"NetherCodeAbilityEffectAssetCatalog","100010","ParameterBuff","Self","StartBattle","PlayerSideOnly","4","5137837722840477293"
"NetherCodeAbilityEffectAssetCatalog","100011","ParameterBuff","Self","StartBattle","PlayerSideOnly","4","7894815970444934797"
"NetherCodeAbilityEffectAssetCatalog","100012","ParameterBuff","Self","StartBattle","PlayerSideOnly","4","153682703752891708"
"NetherCodeAbilityEffectAssetCatalog","100013","ParameterBuff","Self","ReceiveBuff","PlayerSideOnly","4","-8076196928325180132"
"NetherCodeAbilityEffectAssetCatalog","100014","ParameterBuff","Self","ReceiveBuff","PlayerSideOnly","4","-3975724467751567947"
"NetherCodeAbilityEffectAssetCatalog","100015","ParameterBuff","Self","ReceiveBuff","PlayerSideOnly","4","1711732450228543181"
"NetherCodeAbilityEffectAssetCatalog","100016","ParameterBuff","Self","ReceiveBuff","PlayerSideOnly","4","613392912279736505"
"NetherCodeAbilityEffectAssetCatalog","100017","ParameterBuff","Self","ReceiveBuff","PlayerSideOnly","4","5701152597191034694"
