"Catalog","AbilityEffectAssetId","SubAssetIndex","Category","Code","AssetName","Guid","PathId","ParametersJson","SourcePath"
"NetherCodeAbilityEffectAssetCatalog","100001","1","AbilityEffect","ParameterBuff","AbilitySubAsset_AbilityEffect_ParameterBuff","","-2535960056706899918","{""_levelType"":0,""_level1"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448875}}],""_endSituation"":{""situation"":0,""value"":0}},""_level2"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448876}}],""_endSituation"":{""situation"":0,""value"":0}},""_level3"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448877}}],""_endSituation"":{""situation"":0,""value"":0}},""_level4"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448878}}],""_endSituation"":{""situation"":0,""value"":0}},""_level5"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448879}}],""_endSituation"":{""situation"":0,""value"":0}},""_level6"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448880}}],""_endSituation"":{""situation"":0,""value"":0}},""_level7"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448881}}],""_endSituation"":{""situation"":0,""value"":0}},""_level8"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448882}}],""_endSituation"":{""situation"":0,""value"":0}},""_level9"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448883}}],""_endSituation"":{""situation"":0,""value"":0}},""_level10"":{""_buffs"":[{""buffType"":80,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865892086448884}}],""_endSituation"":{""situation"":0,""value"":0}},""references"":{""version"":2,""RefIds"":[{""rid"":5724865892086448875,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":20,""limit"":0}},{""rid"":5724865892086448876,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":40,""limit"":0}},{""rid"":5724865892086448877,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":60,""limit"":0}},{""rid"":5724865892086448878,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":80,""limit"":0}},{""rid"":5724865892086448879,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":100,""limit"":0}},{""rid"":5724865892086448880,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":120,""limit"":0}},{""rid"":5724865892086448881,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":140,""limit"":0}},{""rid"":5724865892086448882,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":160,""limit"":0}},{""rid"":5724865892086448883,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":180,""limit"":0}},{""rid"":5724865892086448884,""type"":{""class"":""MaxHpRateUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":200,""limit"":0}}]}}","general-common-9533.bundle#PathID=-2535960056706899918"
"NetherCodeAbilityEffectAssetCatalog","100001","2","AbilityScope","PlayerSideOnly","AbilitySubAsset_AbilityScope_PlayerSideOnly","","-3407817120380690382","{""_scopePlayerSide"":{""_ignoreDeadUnit"":1,""_elementType"":-1,""_manaType"":-1,""_partyPosition"":-1,""_unionType"":-1,""_jobGroupFlag"":-1,""_jobSpeciesFlag"":-1}}","general-common-9533.bundle#PathID=-3407817120380690382"
"NetherCodeAbilityEffectAssetCatalog","100001","3","AbilitySituation","GameStart","AbilitySubAsset_AbilitySituation_GameStart","","395010460140036146","{""_situationGameStart"":{""_probabilityType"":0,""_probabilityPerMille"":1000,""_levelBasedProbability"":{""_level1"":1000,""_level2"":1000,""_level3"":1000,""_level4"":1000,""_level5"":1000,""_level6"":1000,""_level7"":1000,""_level8"":1000,""_level9"":1000,""_level10"":1000},""_executeCountLimit"":{""_executeCountLimit"":{""rid"":3192892898277851207}},""_situationCost"":{""_situationCosts"":[]}},""references"":{""version"":2,""RefIds"":[{""rid"":3192892898277851207,""type"":{""class"":""ExecuteCountLimitQuestParameter"",""ns"":""Project.BattleSituations.SituationLimits"",""asm"":""Project""},""data"":{""_valueType"":0,""_countLimit"":{""_countLimit"":1},""_levelBased"":{""_level1"":{""_countLimit"":0},""_level2"":{""_countLimit"":0},""_level3"":{""_countLimit"":0},""_level4"":{""_countLimit"":0},""_level5"":{""_countLimit"":0},""_level6"":{""_countLimit"":0},""_level7"":{""_countLimit"":0},""_level8"":{""_countLimit"":0},""_level9"":{""_countLimit"":0},""_level10"":{""_countLimit"":0}}}}]}}","general-common-9533.bundle#PathID=395010460140036146"
"NetherCodeAbilityEffectAssetCatalog","100001","4","AbilityTarget","Self","AbilitySubAsset_AbilityTarget_Self","","-2928162127794872270","{""_targetSelf"":{}}","general-common-9533.bundle#PathID=-2928162127794872270"
"NetherCodeAbilityEffectAssetCatalog","100002","1","AbilityTarget","FriendAll","AbilitySubAsset_AbilityTarget_FriendAll","","1684941750069920485","{""_targetFriend"":{""_ignoreDeadUnit"":1,""_elementTypeFlag"":-1,""_partyPositionFlag"":2,""_unionTypeFlag"":-1,""_jobGroupFlag"":-1,""_jobSpeciesFlag"":-1,""_charaSizeFlag"":-1,""_buffs"":[],""_searchType"":0,""_randomNum"":1,""_nearestNum"":1,""_currentHpLeastNum"":1}}","general-common-9533.bundle#PathID=1684941750069920485"
"NetherCodeAbilityEffectAssetCatalog","100002","2","AbilityEffect","ParameterBuff","AbilitySubAsset_AbilityEffect_ParameterBuff","","-4392633392893820187","{""_levelType"":0,""_level1"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445719}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level2"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445720}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level3"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445721}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level4"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445722}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level5"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445723}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level6"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445724}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level7"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445725}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level8"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445726}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level9"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445727}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level10"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445728}}],""_endSituation"":{""situation"":7,""value"":15000}},""references"":{""version"":2,""RefIds"":[{""rid"":5724865891978445719,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":200,""limit"":0}},{""rid"":5724865891978445720,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":250,""limit"":0}},{""rid"":5724865891978445721,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":300,""limit"":0}},{""rid"":5724865891978445722,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":350,""limit"":0}},{""rid"":5724865891978445723,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":400,""limit"":0}},{""rid"":5724865891978445724,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":450,""limit"":0}},{""rid"":5724865891978445725,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":500,""limit"":0}},{""rid"":5724865891978445726,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":550,""limit"":0}},{""rid"":5724865891978445727,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":600,""limit"":0}},{""rid"":5724865891978445728,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":650,""limit"":0}}]}}","general-common-9533.bundle#PathID=-4392633392893820187"
"NetherCodeAbilityEffectAssetCatalog","100002","3","AbilityScope","PlayerSideOnly","AbilitySubAsset_AbilityScope_PlayerSideOnly","","2922325118321132261","{""_scopePlayerSide"":{""_ignoreDeadUnit"":1,""_elementType"":-1,""_manaType"":-1,""_partyPosition"":2,""_unionType"":-1,""_jobGroupFlag"":-1,""_jobSpeciesFlag"":-1}}","general-common-9533.bundle#PathID=2922325118321132261"
"NetherCodeAbilityEffectAssetCatalog","100002","4","AbilitySituation","SpendBuff","AbilitySubAsset_AbilitySituation_SpendBuff","","-2959955188371651867","{""_spendBuff"":{""_probabilityType"":0,""_probabilityPerMille"":1000,""_levelBasedProbability"":{""_level1"":1000,""_level2"":1000,""_level3"":1000,""_level4"":1000,""_level5"":1000,""_level6"":1000,""_level7"":1000,""_level8"":1000,""_level9"":1000,""_level10"":1000},""_executeCountLimit"":{""_executeCountLimit"":{""rid"":-2}},""_situationCost"":{""_situationCosts"":[]},""_specifyBuffType"":1,""_buffType"":10000002},""references"":{""version"":2,""RefIds"":[{""rid"":-2,""type"":{""class"":"""",""ns"":"""",""asm"":""""}}]}}","general-common-9533.bundle#PathID=-2959955188371651867"
"NetherCodeAbilityEffectAssetCatalog","100003","1","AbilityTarget","FriendAll","AbilitySubAsset_AbilityTarget_FriendAll","","-6024122939842386082","{""_targetFriend"":{""_ignoreDeadUnit"":1,""_elementTypeFlag"":-1,""_partyPositionFlag"":4,""_unionTypeFlag"":-1,""_jobGroupFlag"":-1,""_jobSpeciesFlag"":-1,""_charaSizeFlag"":-1,""_buffs"":[],""_searchType"":0,""_randomNum"":1,""_nearestNum"":1,""_currentHpLeastNum"":1}}","general-common-9533.bundle#PathID=-6024122939842386082"
"NetherCodeAbilityEffectAssetCatalog","100003","2","AbilityEffect","ParameterBuff","AbilitySubAsset_AbilityEffect_ParameterBuff","","3070733161252366174","{""_levelType"":0,""_level1"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445719}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level2"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445720}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level3"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445721}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level4"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445722}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level5"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445723}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level6"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445724}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level7"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445725}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level8"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445726}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level9"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445727}}],""_endSituation"":{""situation"":7,""value"":15000}},""_level10"":{""_buffs"":[{""buffType"":10,""BuffTargetFilter"":{""m_FileID"":0,""m_PathID"":0},""parameterReference"":{""rid"":5724865891978445728}}],""_endSituation"":{""situation"":7,""value"":15000}},""references"":{""version"":2,""RefIds"":[{""rid"":5724865891978445719,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":200,""limit"":0}},{""rid"":5724865891978445720,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":250,""limit"":0}},{""rid"":5724865891978445721,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":300,""limit"":0}},{""rid"":5724865891978445722,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":350,""limit"":0}},{""rid"":5724865891978445723,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":400,""limit"":0}},{""rid"":5724865891978445724,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":450,""limit"":0}},{""rid"":5724865891978445725,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":500,""limit"":0}},{""rid"":5724865891978445726,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":550,""limit"":0}},{""rid"":5724865891978445727,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":600,""limit"":0}},{""rid"":5724865891978445728,""type"":{""class"":""AttackUpPermilleBuffParameterReference"",""ns"":""Project.Ingame"",""asm"":""Project""},""data"":{""valueType"":0,""value"":650,""limit"":0}}]}}","general-common-9533.bundle#PathID=3070733161252366174"
