"Action","VariantIndex","Key","TypeName","Value"
"Attack001","1","TARGET_COUNT","System.Int32","3"
"Attack001","1","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","1","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","2","TARGET_COUNT","System.Int32","3"
"Attack001","2","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","2","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","2","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","2","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","3","TARGET_COUNT","System.Int32","3"
"Attack001","3","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","3","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","3","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","3","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","4","TARGET_COUNT","System.Int32","3"
"Attack001","4","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","4","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","4","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","4","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","5","TARGET_COUNT","System.Int32","3"
"Attack001","5","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","5","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","5","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","5","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","6","TARGET_COUNT","System.Int32","3"
"Attack001","6","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","6","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","6","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","6","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","7","TARGET_COUNT","System.Int32","3"
"Attack001","7","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","7","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","7","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","7","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","8","TARGET_COUNT","System.Int32","3"
"Attack001","8","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","8","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","8","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","8","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","9","TARGET_COUNT","System.Int32","3"
"Attack001","9","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","9","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","9","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","9","KNOCKBACK.STRENGTH","System.Int32","3"
"Attack001","10","TARGET_COUNT","System.Int32","3"
"Attack001","10","DAMAGE.HIT_COUNT","System.Int32","1"
"Attack001","10","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","70"
"Attack001","10","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","70"
"Attack001","10","KNOCKBACK.STRENGTH","System.Int32","3"
"Skill001","1","TARGET_COUNT","System.Int32","3"
"Skill001","1","DAMAGE.HIT_COUNT","System.Int32","1"
"Skill001","1","DAMAGE.DAMAGE_PERCENT","Project.ValuePercent","220"
"Skill001","1","DAMAGE.DAMAGE_FIRST_PERCENT","Project.ValuePercent","220"
"Skill001","1","KNOCKBACK.STRENGTH","System.Int32","4"
"Skill001","2","TARGET_COUNT","System.Int32","3"
